primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;164.5978837000439;1;164.68384610000066;166.69235540006775;166.69235540006775;None;168.70122220006306;None;170.93375770002604;171.25031870009843;172.4585857000202;172.47525120002683;176.73377490008716;None;8;0;0.9573251999681816;176.73377490008716;None;178.29197310004383;None;None;None;[];178.29197310004383;None;5;None;178.29197310004383;None;;;;;;;;;;;;;;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;181.30849690001924;None;183.4166749001015;183.73348730010912;184.90835490007885;184.92509090004023;186.88356190000195;None;None;0;;186.88356190000195;None;188.44146980007645;None;None;None;[];188.44146980007645;None;6;['9'];188.44146980007645;None;[0.6735703999875113];;;;;;;;;;;;;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;192.483134200098;None;193.76640760002192;194.08311580005102;195.224519600044;195.24140060006175;197.21639210009016;None;None;0;;197.21639210009016;None;;;;;;;;5;;;;;191.44163200003095;None;198.79958079999778;None;None;None;[];198.79958079999778;None;None;198.79958079999778;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;201.82458000001498;None;203.54108530003577;203.85777820006479;205.04955200001132;205.0662081000628;207.68263610010035;None;7;0;0.8564340999582782;207.68263610010035;None;;;;;;;;4;;;;;;;209.23266910004895;None;None;None;[];209.23266910004895;None;['7'];209.23266910004895;None;[0.9705218999879435];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;212.2326584000839;None;213.71579040004872;214.03234200004954;215.23320260003675;215.25751880009193;217.15743720007595;None;9;0;0.5415710000088438;217.15743720007595;None;;;;;;;;6;;;;;;;218.79074330010917;None;None;None;[];218.79074330010917;None;"['9', '9', '9']";218.79074330010917;None;"[0.47631339996587485, 1.0523212999105453, 2.0122056999243796]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;221.79066000005696;None;223.10713120002765;223.42390920000616;224.55726850009523;224.57386860006955;226.5572903000284;None;None;0;;226.5572903000284;None;;;;;;;;3;;;;;;;228.131956600002;None;None;None;[];228.131956600002;None;"['7', '7']";228.131956600002;None;"[0.2310205000685528, 1.1354755000211298]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;231.14043860009406;None;233.2902609000448;233.6068284000503;234.7739863001043;234.7986734000733;245.74006660003215;None;7;0;0.631078900070861;245.74006660003215;None;;;;;;;;4;;;;;;;247.29872810002416;None;None;None;[];247.29872810002416;None;['7'];247.29872810002416;None;[1.1206026000436395];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;250.28996800002642;None;252.03121730010025;252.34797180001624;253.54802099999506;253.56469450006261;256.64808160008397;None;7;0;0.7313139999751002;256.64808160008397;None;;;;;;;;2;;;;;;;258.2478404000867;None;None;None;[];258.2478404000867;None;"['7', '7', '7']";258.2478404000867;None;"[0.41969410004094243, 0.6912181000225246, 1.0754080000333488]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;261.23950830008835;None;263.2642985000275;263.5810373000568;264.74749520001933;264.7641686000861;267.50611800001934;None;7;0;0.537127299932763;267.50611800001934;None;;;;;;;;4;;;;;;;269.0641774000833;None;None;None;[];269.0641774000833;None;['7'];269.0641774000833;None;[0.9390380999539047];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;272.06415160000324;None;273.47230450005736;273.7888618001016;274.96434410009533;274.9889663000358;277.4139119000174;None;9;0;0.5413068999769166;277.4139119000174;None;;;;;;;;6;;;;;;;278.97227270004805;None;None;None;[];278.97227270004805;None;"['9', '9']";278.97227270004805;None;"[0.9749212000751868, 2.3269433000823483]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;281.97217030008323;None;283.4302627000725;283.74697690003086;284.88030430010986;284.8968686000444;286.9469467001036;None;7;0;0.648250799975358;286.9469467001036;None;;;;;;;;5;;;;;;;288.49682630004827;None;None;None;[];288.49682630004827;None;None;288.49682630004827;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;291.51344300003257;None;292.7717565000057;293.08858650003094;294.2717583000194;294.28841890010517;300.01322030008305;None;9;0;0.8540581000270322;300.01322030008305;None;;;;;;;;6;;;;;;;301.6048442000756;None;None;None;[];301.6048442000756;None;['9'];301.6048442000756;None;[1.0542832999490201];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;304.60480170010123;None;306.2630131000187;306.5797428000951;307.7213908000849;307.7380888001062;315.84624760004226;None;7;0;0.5649124000919983;315.84624760004226;None;;;;;;;;3;;;;;;;317.3959129001014;None;None;None;[];317.3959129001014;None;"['7', '7', '7']";317.3959129001014;None;"[0.5273265999276191, 1.0473190000047907, 1.495271399966441]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;320.39615540008526;None;322.34581920003984;322.66260190005414;323.86257120000664;323.8792558000423;338.2878116000211;None;9;0;0.7634233999997377;338.2878116000211;None;;;;;;;;7;;;;;;;340.0953945000656;None;None;None;[];340.0953945000656;None;"['9', '9']";340.0953945000656;None;"[0.7556046000681818, 1.3078963999869302]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;343.0952255000593;None;344.57011760002933;344.8869255000027;346.0785506000975;346.09603440004867;349.0367837001104;None;9;0;0.5743018999928609;349.0367837001104;None;;;;;;;;8;;;;;;;350.5867412000662;None;None;None;[];350.5867412000662;None;"['9', '9', '9']";350.5867412000662;None;"[0.48077240004204214, 0.9126320000505075, 1.6566264000721276]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;353.58678190002684;None;355.0697609001072;355.3865436000051;356.6197455000365;356.63656260003336;359.1451343999943;None;7;0;0.6181712000397965;359.1451343999943;None;;;;;;;;5;;;;;;;360.7032686000457;None;None;None;[];360.7032686000457;None;None;360.7032686000457;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;363.7280406000791;None;365.26956760010216;365.58630500000436;366.7610093000112;366.77790090010967;374.14439010003116;None;7;0;0.4828451999928802;374.14439010003116;None;;;;;;;;3;;;;;;;375.76935860002413;None;None;None;[];375.76935860002413;None;"['7', '7']";375.76935860002413;None;"[0.4179109000833705, 0.6977695000823587]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
