primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;30.54853449994698;1;30.62610200000927;32.626310100080445;32.626310100080445;None;34.64352000015788;None;38.33449640008621;38.65101610007696;39.80100750015117;39.817754900082946;44.142623000079766;None;8;0;0.8891282000113279;44.142623000079766;None;45.692405600100756;None;None;None;[];45.692405600100756;None;5;None;45.692405600100756;None;;;;;;;;;;;;;;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;48.700640900060534;None;50.825525500113145;51.14230659999885;52.300445599947125;52.31712150014937;54.27572949999012;None;8;0;1.2681119001936167;54.27572949999012;None;55.82552620000206;None;None;None;[];55.82552620000206;None;5;None;55.82552620000206;None;;;;;;;;;;;;;;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;59.85877640009858;None;61.1335962000303;61.45027979998849;62.58346570003778;62.60032399999909;64.58364149997942;None;None;0;;64.58364149997942;None;;;;;;;;4;;;;58.842056000139564;None;66.13346150005236;None;None;None;[];66.13346150005236;None;['7'];[0.3865757000166923];66.13346150005236;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;69.1334041999653;None;70.84155300003476;71.16718160011806;72.35006360011175;72.36669080005959;74.98334010015242;None;7;0;0.3845047999639064;74.98334010015242;None;;;;;;;;3;;;;;;76.53305370011367;None;None;None;[];76.53305370011367;None;"['7', '7']";"[0.37078940006904304, 0.6829995000734925]";76.53305370011367;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;79.54163610003889;None;81.024662300013;81.3413506001234;82.47467650007457;82.49134830012918;84.46642640000209;None;9;0;0.37340119993314147;84.46642640000209;None;;;;;;;;8;;;;;;86.02461740002036;None;None;None;[];86.02461740002036;None;"['9', '9', '9']";"[0.3193008000962436, 0.5994311000686139, 0.8394092000089586]";86.02461740002036;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;89.02457990008406;None;90.35773100005463;90.67440970009193;91.79957929998636;91.81611989997327;93.80773130012676;None;7;0;0.640149800106883;93.80773130012676;None;;;;;;;;4;;;;;;95.35769070009701;None;None;None;[];95.35769070009701;None;['7'];[0.29045990016311407];95.35769070009701;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;98.36599610000849;None;100.51588600012474;100.8324424000457;102.04086229996756;102.05754190008156;112.965493200114;None;7;0;0.3382582999765873;112.965493200114;None;;;;;;;;3;;;;;;114.5154496000614;None;None;None;[];114.5154496000614;None;"['7', '7', '9', '7']";"[0.3086564999539405, 0.5324223998468369, 0.6203570999205112, 1.1244575998280197]";114.5154496000614;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;117.52378940000199;None;119.26517709996551;119.58184690005146;120.76526560005732;120.78188010002486;123.89035609993152;None;7;0;1.3895747000351548;123.89035609993152;None;;;;;;;;4;;;;;;125.44011970004067;None;None;None;[];125.44011970004067;None;"['7', '7']";"[0.34375010011717677, 0.6959168999455869]";125.44011970004067;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;128.44843879994005;None;130.48986790003255;130.8065981999971;131.98157780012116;131.99830109998584;134.73172349995002;None;7;0;0.6042490999680012;134.73172349995002;None;;;;;;;;4;;;;;;136.2897958001122;None;None;None;[];136.2897958001122;None;['7'];[0.3820724000688642];136.2897958001122;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;139.29802180011757;None;140.714547800133;141.03125420003198;142.172968900064;142.18962189997546;144.65624459995888;None;9;0;0.3276784000918269;144.65624459995888;None;;;;;;;;8;;;;;;146.20617919997312;None;None;None;[];146.20617919997312;None;"['9', '9', '9', '9']";"[0.2977203999180347, 0.5936958999373019, 0.8176969999913126, 1.0736167000140995]";146.20617919997312;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;149.2061542000156;None;150.64754869998433;150.96432980010286;152.10572999995202;152.12245020014234;154.16424810001627;None;7;0;0.3955779999960214;154.16424810001627;None;;;;;;;;3;;;;;;155.71427819994278;None;None;None;[];155.71427819994278;None;"['7', '7']";"[0.4536456000059843, 0.8295507999137044]";155.71427819994278;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;158.7141615001019;None;159.98063679994084;160.29739190009423;161.464095500065;161.48074549995363;167.22233270015568;None;9;0;0.3138865998480469;167.22233270015568;None;;;;;;;;8;;;;;;168.79715070012026;None;None;None;[];168.79715070012026;None;"['9', '9', '9', '9', '9']";"[0.186750499997288, 0.4187793000601232, 0.6427069001365453, 0.8668106000404805, 1.1707379000727087]";168.79715070012026;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;171.8055304000154;None;173.47179410001263;173.7886659000069;174.93863590015098;174.95530649996363;183.0550651999656;None;7;0;0.4968254999257624;183.0550651999656;None;;;;;;;;4;;;;;;184.59668099996634;None;None;None;[];184.59668099996634;None;['7'];[0.8832602000329643];184.59668099996634;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;187.60510560008697;None;189.59631210006773;189.91331750014797;191.12156879995018;191.13820879999548;205.53775020013563;None;9;0;0.3262467000167817;205.53775020013563;None;;;;;;;;6;;;;;;207.08768979995511;None;None;None;[];207.08768979995511;None;['9'];[0.31249820021912456];207.08768979995511;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;210.0960943000391;None;211.61241389997303;211.92911579995416;213.0791975001339;213.0958360999357;216.07921340013854;None;9;0;0.3127214000560343;216.07921340013854;None;;;;;;;;6;;;;;;217.6290500999894;None;None;None;[];217.6290500999894;None;['9'];[0.2510075999889523];217.6290500999894;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;220.62896000011824;None;222.1120712000411;222.43763770000078;223.6202517999336;223.63696849998087;226.1871396000497;None;7;0;0.27681489987298846;226.1871396000497;None;;;;;;;;4;;;;;;227.7620070001576;None;None;None;[];227.7620070001576;None;['7'];[0.22206209995783865];227.7620070001576;None;;;S11407;2022_Apr_28_1102;VideoMask;2021.1.2;120.15071675203983;
