primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;24.306229599984363;1;24.38369419996161;26.3838883000426;26.3838883000426;None;28.400440099998377;None;30.61713280004915;30.933584799990058;32.100419000023976;32.11702290002722;36.40854590001982;None;8;0;0.6969285999657586;36.40854590001982;None;37.967096799984574;None;None;None;[];37.967096799984574;None;5;None;37.967096799984574;None;;;;;;;;;;;;;;;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;40.98344730003737;None;43.091580700012855;43.4082056999905;44.541624199948274;44.55900690006092;46.541573200025596;None;8;0;0.9481008000439033;46.541573200025596;None;48.091525300056674;None;None;None;[];48.091525300056674;None;6;['9'];48.091525300056674;None;[1.9422774999402463];;;;;;;;;;;;;;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;52.12473829998635;None;53.399554800009355;53.7162268999964;54.84967060002964;54.866268099984154;56.84963129996322;None;None;0;;56.84963129996322;None;;;;;;;;3;;;;;51.09143190004397;None;58.399553399998695;None;None;None;[];58.399553399998695;None;"['7', '7']";"[0.05788640002720058, 2.4339296999387443]";58.399553399998695;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;61.399459399981424;None;63.115881499950774;63.432737400056794;64.5910687999567;64.60761469998397;67.25785539997742;None;7;0;0.6637542999815196;67.25785539997742;None;;;;;;;;3;;;;;;;68.81587140006013;None;None;None;[];68.81587140006013;None;"['7', '7']";"[0.8178784999763593, 1.825498699909076]";68.81587140006013;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;71.81581619998906;None;73.29047879995778;73.60728700004984;74.7407376000192;74.7573032999644;76.7323061999632;None;9;0;0.6531948000192642;76.7323061999632;None;;;;;;;;6;;;;;;;78.282103799982;None;None;None;[];78.282103799982;None;['9'];[0.5516886999830604];78.282103799982;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;81.28225529997144;None;82.59864310000557;82.91530540003441;84.04049779998604;84.0570339000551;86.04858239996247;None;None;0;;86.04858239996247;None;;;;;;;;5;;;;;;;87.61514040001202;None;None;None;[];87.61514040001202;None;"['9', '7']";"[9.287165299989283, 1.2746358999283984]";87.61514040001202;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;90.59860480006319;None;92.73994230001699;93.0566515000537;94.24013809999451;94.25667240004987;105.20651910000015;None;8;0;0.6429021999938414;105.20651910000015;None;;;;;;;;5;;;;;;;106.76465250004549;None;None;None;[];106.76465250004549;None;None;;106.76465250004549;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;109.78948639996815;None;111.53107360005379;111.84770519996528;112.99780869996175;113.01451370003633;116.14775899995584;None;7;0;1.27766729996074;116.14775899995584;None;;;;;;;;4;;;;;;;117.69772409996949;None;None;None;[];117.69772409996949;None;"['7', '7', '7']";"[0.9518705999944359, 1.7597075999947265, 2.8239813999971375]";117.69772409996949;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;120.69755919999443;None;122.72239889996126;123.03909390000626;124.18089249997865;124.19748119998258;126.96417769999243;None;7;0;0.6453802000032738;126.96417769999243;None;;;;;;;;4;;;;;;;128.51406990003306;None;None;None;[];128.51406990003306;None;['7'];[0.727270400035195];128.51406990003306;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;131.51398769998923;None;132.92209460004233;133.23877070005983;134.41420830006246;134.43879689997993;136.86380199994892;None;9;0;0.7936865999363363;136.86380199994892;None;;;;;;;;7;;;;;;;138.41375259996857;None;None;None;[];138.41375259996857;None;"['9', '9']";"[0.5717103000497445, 1.075830400106497]";138.41375259996857;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;141.4221297999611;None;142.86350109998602;143.18026199995074;144.3136379000498;144.33019829995465;146.3801903000567;None;7;0;0.6293231999734417;146.3801903000567;None;;;;;;;;4;;;;;;;147.93005680001806;None;None;None;[];147.93005680001806;None;['7'];[0.6313805000390857];147.93005680001806;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;150.9300777000608;None;152.18831090000458;152.50497060001362;153.66332809999585;153.6799382000463;159.42981780006085;None;None;0;;159.42981780006085;None;;;;;;;;6;;;;;;;160.97972249996383;None;None;None;[];160.97972249996383;None;['9'];[2.5337413999950513];160.97972249996383;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;163.9795314000221;None;165.62940880004317;165.94606510002632;167.08821419999003;167.11287890002131;175.21274610003456;None;7;0;0.5567566000390798;175.21274610003456;None;;;;;;;;4;;;;;;;176.76256900001317;None;None;None;[];176.76256900001317;None;['7'];[0.39100990002043545];176.76256900001317;None;;;S11459;2022_May_17_1752;VideoMask;2021.1.2;120.04657814748444;
