primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;63.571712700184435;1;63.64944309997372;65.65779300010763;65.65779300010763;None;67.69165659998544;None;69.90769080002792;70.23263190011494;71.39164800010622;71.40748449997045;75.71589660015889;None;None;0;75.71589660015889;None;77.28232700005174;None;None;None;[];77.28232700005174;None;5;None;77.28232700005174;None;;;;;;;;;;;;;;;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;80.29041640018113;None;82.41541430004872;82.73211070010439;83.89055280014873;83.90714920009486;85.86547329998575;None;None;0;85.86547329998575;None;87.41541839996353;None;None;None;[];87.41541839996353;None;5;None;87.41541839996353;None;;;;;;;;;;;;;;;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;91.46531400014646;None;92.74008500017226;93.0568016001489;94.19004700006917;94.20663890009746;96.19856240018271;None;7;0;96.19856240018271;None;;;;;;;;2;;;;90.44030970009044;None;0.857752799987793;97.82344139995985;None;None;None;[];97.82344139995985;None;"['7', '7', '7']";"[2.0171960999723524, 2.377004100009799, 2.840979800093919]";97.82344139995985;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;100.81502550002187;None;102.53971130005084;102.85643619997427;104.00686850002967;104.02324600005522;106.68146330001764;None;7;0;106.68146330001764;None;;;;;;;;3;;;;;;0.8227438000030816;108.2313844000455;None;None;None;[];108.2313844000455;None;"['7', '7', '7']";"[0.7289098999463022, 1.1769743000622839, 1.6087435998488218]";108.2313844000455;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;111.231380000012;None;112.7228022001218;113.03950450010598;114.2395172000397;114.25627920008264;116.1645673001185;None;9;0;116.1645673001185;None;;;;;;;;9;;;;;;1.1475657001137733;117.83112750016153;None;None;None;[];117.83112750016153;None;"['9', '9', '9', '9']";"[0.6891354001127183, 1.1132239000871778, 1.47346520004794, 1.8892936001066118]";117.83112750016153;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;120.83120480016805;None;122.16417170013301;122.48087800014764;123.60599509999156;123.62252780003473;125.61421450017951;None;7;0;125.61421450017951;None;;;;;;;;3;;;;;;1.1700676998589188;127.16417340002954;None;None;None;[];127.16417340002954;None;"['7', '7']";"[0.5160221999976784, 1.17223499994725]";127.16417340002954;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;130.17253520013765;None;132.38128440012224;132.69725290010683;133.83067529997788;133.8473026000429;144.83022010000423;None;7;0;144.83022010000423;None;;;;;;;;2;;;;;;0.8099777000024915;146.38020390016027;None;None;None;[];146.38020390016027;None;"['7', '7', '7']";"[0.4120791000314057, 0.9002340999431908, 1.3161277999170125]";146.38020390016027;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;149.38857010006905;None;151.15492490003817;151.4716004000511;152.6382053999696;152.65488440007903;155.77151920017786;None;7;0;155.77151920017786;None;;;;;;;;1;;;;;;0.9488129999954253;157.32152140000835;None;None;None;[];157.32152140000835;None;"['7', '7', '7', '7', '7', '7']";"[0.44693029997870326, 0.8066741998773068, 1.1346783998887986, 1.5029043999966234, 1.8549601000268012, 2.254699599929154]";157.32152140000835;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;160.3299752001185;None;162.3629501000978;162.67965649999678;163.84673140011728;163.86287980014458;166.6050383001566;None;7;0;166.6050383001566;None;;;;;;;;4;;;;;;0.5396054000593722;168.17956340010278;None;None;None;[];168.17956340010278;None;['7'];[0.7167891000863165];168.17956340010278;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;171.17956489999779;None;172.604324700078;172.92087430018;174.07944200001657;174.09589770017192;176.54596500005573;None;9;0;176.54596500005573;None;;;;;;;;9;;;;;;0.9264385998249054;178.0959356999956;None;None;None;[];178.0959356999956;None;"['9', '9', '9', '9', '9']";"[0.6083404999226332, 0.9923578999005258, 1.3445262999739498, 1.7362872997764498, 2.1205026998650283]";178.0959356999956;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;181.09585260017775;None;182.5372333000414;182.8541045000311;183.98745790007524;184.00406710011885;186.05404300009832;None;7;0;186.05404300009832;None;;;;;;;;1;;;;;;0.6902458998374641;187.6039724999573;None;None;None;[];187.6039724999573;None;"['7', '7', '7', '7', '7']";"[0.30058269994333386, 0.6603061999194324, 0.9482309999875724, 1.3565061998087913, 1.8203505999408662]";187.6039724999573;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;190.61222190014087;None;191.90361710009165;192.22045510006137;193.37038890016265;193.38696829997934;199.1452816000674;None;9;0;199.1452816000674;None;;;;;;;;7;;;;;;0.9831809001043439;200.69522360013798;None;None;None;[];200.69522360013798;None;"['9', '9']";"[0.7132003998849541, 1.3531327999662608]";200.69522360013798;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;203.6951601000037;None;205.369882900035;205.68675840017386;206.84487530007027;206.86162760015577;214.95326880016364;None;7;0;214.95326880016364;None;;;;;;;;3;;;;;;0.8231002001557499;216.5031447999645;None;None;None;[];216.5031447999645;None;"['7', '7']";"[0.48915189993567765, 1.305322099942714]";216.5031447999645;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;219.50309889996424;None;221.4944056000095;221.81119340006262;222.98625280009583;223.00287840003148;237.42760569998063;None;9;0;237.42760569998063;None;;;;;;;;7;;;;;;1.0046794000081718;238.97738930000924;None;None;None;[];238.97738930000924;None;"['9', '9']";"[0.5988738001324236, 0.9830232001841068]";238.97738930000924;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;241.97744980012067;None;243.4687954999972;243.78557309997268;244.91892349999398;244.93553510005586;247.93558800010942;None;7;0;247.93558800010942;None;;;;;;;;7;;;;;;0.8891070999670774;249.48540380015038;None;None;None;[];249.48540380015038;None;"['7', '9', '9', '9']";"[0.4989175000227988, 1.3148954000789672, 1.6028307999949902, 1.9468588000163436]";249.48540380015038;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;252.48541780002415;None;253.98512930003926;254.30187500012107;255.460042900173;255.47671400010586;258.0602365999948;None;7;0;258.0602365999948;None;;;;;;;;4;;;;;;1.2840493998955935;259.618429900147;None;None;None;[];259.618429900147;None;['7'];[0.5580795998685062];259.618429900147;None;;;S11485;2022_May_27_1408;VideoMask;2021.1.2;119.96319540243684;
