primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;25.007752599893138;1;25.086291400017217;27.0864494999405;27.0864494999405;None;29.102922699879855;None;31.35281730000861;31.66954839997925;32.80267099989578;32.81944109988399;37.15296099986881;None;8;0;1.3758477000519633;37.15296099986881;None;38.711120299994946;None;None;None;[];38.711120299994946;None;6;['9'];[2.4735352001152933];38.711120299994946;None;;;;;;;;;;;;;;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;41.702681299997494;None;43.810637400019914;44.127604000037536;45.26091479999013;45.27761940006167;47.26094070007093;None;None;0;;47.26094070007093;None;48.810804300010204;None;None;None;[];48.810804300010204;None;6;['9'];[0.990070499945432];48.810804300010204;None;;;;;;;;;;;;;;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;52.8439702000469;None;54.11878739995882;54.43547939998098;55.57721160002984;55.593880200060084;57.56885499996133;None;8;0;0.7519871999975294;57.56885499996133;None;;;;;;;;3;;;;;51.819146200083196;None;59.12715009995736;None;None;None;[];59.12715009995736;None;"['7', '7']";"[0.6819452000781894, 0.9377105999737978]";59.12715009995736;None;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;62.11877020006068;None;63.83516769995913;64.15188229992054;65.31026909989305;65.32683039992116;67.97676540003158;None;7;0;0.49598949984647334;67.97676540003158;None;;;;;;;;3;;;;;;;69.5267457999289;None;None;None;[];69.5267457999289;None;"['7', '7']";"[0.506066600093618, 1.8900135001167655]";69.5267457999289;None;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;72.52674379991367;None;74.00985509995371;74.32662559999153;75.5100271999836;75.5264711000491;77.45163300004788;None;8;0;0.541129200020805;77.45163300004788;None;;;;;;;;5;;;;;;;79.00148439989425;None;None;None;[];79.00148439989425;None;None;;79.00148439989425;None;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;82.01791499997489;None;83.33456170000136;83.65124520007521;84.77645589993335;84.79294659988955;86.78451619995758;None;None;0;;86.78451619995758;None;;;;;;;;4;;;;;;;88.32605320005678;None;None;None;[];88.32605320005678;None;"['7', '7']";"[0.8346080998890102, 1.3547414999920875]";88.32605320005678;None;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;91.33454229985364;None;93.47593449987471;93.79263220005669;94.99264369998127;95.00936989998445;105.93418459990062;None;7;0;0.7306248999666423;105.93418459990062;None;;;;;;;;3;;;;;;;107.48395520006306;None;None;None;[];107.48395520006306;None;"['7', '7', '7']";"[1.4769593998789787, 1.7088274999987334, 2.0448415998835117]";107.48395520006306;None;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;110.48389589996077;None;112.22532780002803;112.55050479993224;113.72545769996941;113.7420981999021;116.8426812000107;None;7;0;0.7421220999676734;116.8426812000107;None;;;;;;;;2;;;;;;;118.47527029993944;None;None;None;[];118.47527029993944;None;"['7', '7', '7']";"[0.35765639995224774, 0.5813879000488669, 0.7813764000311494]";118.47527029993944;None;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;121.48423609999008;None;123.50835249992087;123.82503849989735;125.0083689999301;125.0250645999331;127.75017330003902;None;7;0;0.3948844999540597;127.75017330003902;None;;;;;;;;2;;;;;;;129.3000127999112;None;None;None;[];129.3000127999112;None;"['7', '7', '7', '7', '7']";"[0.3566811999771744, 0.8687185000162572, 1.0686698001809418, 1.300670700147748, 1.5647754000965506]";129.3000127999112;None;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;132.3081930000335;None;133.7246767000761;134.04140149988234;135.27517580008134;135.29972869995981;137.6662941998802;None;8;0;0.5025365999899805;137.6662941998802;None;;;;;;;;5;;;;;;;139.2162895000074;None;None;None;[];139.2162895000074;None;None;;139.2162895000074;None;;;S11496;2022_Jun_02_1533;VideoMask;2021.1.2;119.96002906981819;
