primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;53.07068980000622;1;53.14840930000355;55.14843450000626;55.14843450000626;None;57.16555740000331;None;59.10670940000273;59.42323390000092;60.58986590000859;60.60655959999713;64.89810679999937;None;8;0;1.217865400001756;64.89810679999937;None;66.46460079999815;None;None;None;[];66.46460079999815;None;7;"['9', '9', '9']";"[1.2190869000041857, 2.083106400008546, 2.34700760000851]";66.46460079999815;None;;;;;;;;;;;;;;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;69.44797890000336;None;71.57274410000537;71.8894372000068;73.03953799999726;73.05612790001032;75.03103600000031;None;8;0;1.308744800000568;75.03103600000031;None;76.58110250000027;None;None;None;[];76.58110250000027;None;8;"['9', '9', '9']";"[0.8466932000010274, 1.2147406000003684, 1.470596500003012]";76.58110250000027;None;;;;;;;;;;;;;;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;80.62257839999802;None;81.91407080000499;82.23076710000169;83.37231449999672;83.38915040000575;85.3808013000089;None;None;0;;85.3808013000089;None;;;;;;;;3;;;;;79.58943190000718;None;86.93885620000947;None;None;None;[];86.93885620000947;None;"['7', '7']";"[0.43286369999987073, 1.3929414000012912]";86.93885620000947;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;89.94748630000686;None;91.680429;91.99722590000601;93.13048659999913;93.14719010000408;95.82218050000665;None;7;0;0.9575840000034077;95.82218050000665;None;;;;;;;;4;;;;;;;97.37204000000202;None;None;None;[];97.37204000000202;None;['7'];[2.0637573999993037];97.37204000000202;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;100.37207440000202;None;101.87186470000597;102.1885476000025;103.35526389999723;103.37186680000741;105.3135551000014;None;9;0;0.5623610000038752;105.3135551000014;None;;;;;;;;5;;;;;;;106.86344349999854;None;None;None;[];106.86344349999854;None;None;;106.86344349999854;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;109.88824169999862;None;111.22982220000995;111.5465358000074;112.67172470000514;112.68816940000397;114.68878740000946;None;7;0;0.6749564000056125;114.68878740000946;None;;;;;;;;3;;;;;;;116.24645859999873;None;None;None;[];116.24645859999873;None;"['7', '7', '7']";"[0.48524549999274313, 0.7571701999986544, 1.3013167000026442]";116.24645859999873;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;119.24652139999671;None;121.46291190000193;121.7796124000015;122.93795750000572;122.95458200000576;133.91260530000727;None;7;0;0.6111797999910777;133.91260530000727;None;;;;;;;;3;;;;;;;135.46244180000213;None;None;None;[];135.46244180000213;None;"['7', '7']";"[0.5973199000000022, 0.901236700010486]";135.46244180000213;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;138.47088160000567;None;140.23740630000248;140.5539620000054;141.74606030000723;141.76292380000814;144.85393500000646;None;7;0;0.7898605999944266;144.85393500000646;None;;;;;;;;1;;;;;;;146.40369440001086;None;None;None;[];146.40369440001086;None;"['7', '7', '7', '7']";"[0.39996020001126453, 0.6479017000092426, 0.8641060000081779, 1.1200931000057608]";146.40369440001086;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;149.41221400001086;None;151.46192110000993;151.77861470000062;152.92926430000807;152.96180469999672;155.703760400007;None;7;0;0.6680436000024201;155.703760400007;None;;;;;;;;3;;;;;;;157.27017000000342;None;None;None;[];157.27017000000342;None;"['7', '7']";"[0.5576122000056785, 1.1336359000124503]";157.27017000000342;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;160.27003780000086;None;161.7116415000055;162.02834010000515;163.2287110000034;163.25329160000547;165.65331960000913;None;9;0;0.8064732999919215;165.65331960000913;None;;;;;;;;6;;;;;;;167.20321240001067;None;None;None;[];167.20321240001067;None;['9'];[0.3926783000060823];167.20321240001067;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;170.21150079999643;None;171.6779499999975;171.99465530000452;173.13639050000347;173.15293710000697;175.19457580000744;None;7;0;0.5132827000052202;175.19457580000744;None;;;;;;;;3;;;;;;;176.74455920000037;None;None;None;[];176.74455920000037;None;"['7', '7']";"[1.9872412999975495, 2.6912157999904593]";176.74455920000037;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;179.74452370000654;None;181.03613269999914;181.35266899999988;182.53602590000082;182.55272760000662;188.27754429999914;None;8;0;0.4381713999900967;188.27754429999914;None;;;;;;;;5;;;;;;;189.82750450000458;None;None;None;[];189.82750450000458;None;None;;189.82750450000458;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;192.86075059999712;None;194.56042930000694;194.87726330000442;196.02769010000338;196.05220520000148;204.1438460000063;None;7;0;0.49989730000379495;204.1438460000063;None;;;;;;;;4;;;;;;;205.6936565000069;None;None;None;[];205.6936565000069;None;"['7', '7']";"[0.5181803000014042, 1.2541148000018438]";205.6936565000069;None;;;S11585;2022_Jul_14_1751;VideoMask;2021.1.2;120.01531395889619;
