primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;32.22531139990315;1;32.302677899831906;34.302877199836075;34.302877199836075;None;36.3192837999668;None;38.252923499792814;38.56930199987255;39.72763039986603;39.74436629982665;44.04429849982262;None;8;0;0.6156536999624223;44.04429849982262;None;45.935769899981096;None;None;None;[];45.935769899981096;None;5;['9'];[0.612126300111413];45.935769899981096;None;;;;;;;;;;;;;;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;48.935752499848604;None;51.0520773997996;51.36889269994572;52.51052269991487;52.527273199986666;54.502156499773264;None;8;0;0.5737607998307794;54.502156499773264;None;56.05206219991669;None;None;None;[];56.05206219991669;None;5;None;;56.05206219991669;None;;;;;;;;;;;;;;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;60.0767777999863;None;61.35174409998581;61.66847349982709;62.801713899942115;62.81852299999446;64.81021079979837;None;7;0;0.617664499906823;64.81021079979837;None;;;;;;;;2;;;;;59.068575999932364;None;66.36845169984736;None;None;None;[];66.36845169984736;None;"['7', '7', '7']";"[0.4596802000887692, 0.8836634000763297, 1.3393588000908494]";66.36845169984736;None;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;69.36005509993993;None;71.06814999994822;71.38491479982622;72.56820669979788;72.58487569983117;75.20998409995809;None;7;0;1.1057734000496566;75.20998409995809;None;;;;;;;;2;;;;;;;76.7680610998068;None;None;None;[];76.7680610998068;None;"['7', '7', '7', '7']";"[0.6278385000769049, 0.9878448001109064, 1.3161927999462932, 2.0278098999988288]";76.7680610998068;None;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;79.76797439996153;None;81.25938679999672;81.57621879992075;82.70952719985507;82.7262695999816;84.70110799977556;None;9;0;0.5187626997940242;84.70110799977556;None;;;;;;;;8;;;;;;;86.25107229989953;None;None;None;[];86.25107229989953;None;"['9', '9', '9']";"[0.4006976999808103, 0.6645863999146968, 1.0087200000416487]";86.25107229989953;None;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;89.25099559989758;None;90.59249609988183;90.90923829982057;92.0343228999991;92.05085819982924;94.04236999992281;None;7;0;0.6094721998088062;94.04236999992281;None;;;;;;;;2;;;;;;;95.59234679979272;None;None;None;[];95.59234679979272;None;"['7', '7', '7']";"[0.39546730020083487, 0.6832862000446767, 1.131442500045523]";95.59234679979272;None;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;98.59244149993174;None;100.79215309978463;101.10891789989546;102.29212909983471;102.30890899989754;113.2426720999647;None;7;0;0.8413533999118954;113.2426720999647;None;;;;;;;;1;;;;;;;115.19182719988748;None;None;None;[];115.19182719988748;None;"['7', '7', '7', '7']";"[0.348210500087589, 0.93198879994452, 1.3562865999992937, 1.715943800052628]";115.19182719988748;None;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;118.19163709995337;None;119.94989489996806;120.26657469989732;121.44159569987096;121.45830449997447;124.57487369980663;None;7;0;0.8449522000737488;124.57487369980663;None;;;;;;;;2;;;;;;;126.12480299989693;None;None;None;[];126.12480299989693;None;"['7', '7', '7']";"[0.38319800002500415, 0.6710195001214743, 1.0710261999629438]";126.12480299989693;None;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;129.12473559984937;None;131.15784439980052;131.47458959999494;132.64119719993323;132.6578434999101;135.39971639984287;None;7;0;1.0200708000920713;135.39971639984287;None;;;;;;;;3;;;;;;;136.95773509982973;None;None;None;[];136.95773509982973;None;"['7', '7']";"[0.43019230011850595, 1.4459407001268119]";136.95773509982973;None;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;139.9660014999099;None;141.39084139978513;141.7075455999002;142.9498843997717;142.9743886999786;145.3324980000034;None;9;0;0.5992866000160575;145.3324980000034;None;;;;;;;;7;;;;;;;146.88237329991534;None;None;None;[];146.88237329991534;None;"['9', '9', '9', '9']";"[0.36141749983653426, 0.6093707999680191, 0.8492268999107182, 1.185398899950087]";146.88237329991534;None;;;S11879;2022_Nov_22_1829;VideoMask;2021.1.2;119.91687371610314;
