primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;46.96855570000025;1;47.0804205000004;49.08054240000001;49.08054240000001;None;51.07204079999974;None;53.388765599999715;53.722231400000055;54.85538980000001;54.87218240000038;59.180241000000024;None;8;0;0.5438722999997481;59.180241000000024;None;60.738443299999744;None;None;None;[];60.738443299999744;None;5;None;60.738443299999744;None;;;;;;;;;;;;;;;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;63.73828030000004;None;65.8631949999999;66.17991530000018;67.3050973999998;67.32156159999977;69.31311040000037;None;None;0;;69.31311040000037;None;70.85466059999999;None;None;None;[];70.85466059999999;None;5;None;70.85466059999999;None;;;;;;;;;;;;;;;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;74.90462920000027;None;76.19635689999996;76.5129035;77.63792590000048;77.65462019999995;79.66287430000011;None;7;0;0.5333338000000367;79.66287430000011;None;;;;;;;;5;;;;73.87963670000045;None;81.21280980000029;None;None;None;[];81.21280980000029;None;None;81.21280980000029;None;;;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;84.22926009999992;None;85.97096580000016;86.28749930000049;87.41286519999994;87.42923900000005;90.11240019999968;None;7;0;0.4840007000002515;90.11240019999968;None;;;;;;;;3;;;;;;91.66243519999989;None;None;None;[];91.66243519999989;None;"['7', '7']";91.66243519999989;None;"[0.4301273000000947, 1.8538924000004045]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;94.66237439999986;None;96.16216150000037;96.47902630000044;97.6040823000003;97.62062229999992;99.6039154;None;9;0;0.6004487999998673;99.6039154;None;;;;;;;;7;;;;;;101.15369800000008;None;None;None;[];101.15369800000008;None;"['9', '9', '9']";101.15369800000008;None;"[0.4507718000004388, 0.8590291000000434, 1.1945871000007173]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;104.15377700000045;None;105.4869475000005;105.80365429999983;106.93722499999967;106.95371849999992;108.93699259999994;None;None;0;;108.93699259999994;None;;;;;;;;3;;;;;;110.47841750000043;None;None;None;[];110.47841750000043;None;"['7', '7', '7']";110.47841750000043;None;"[0.2620362000006935, 0.8859713000001648, 1.8780396000001929]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;113.48670790000051;None;115.67835680000007;115.99501119999968;117.12017689999993;117.13675260000036;128.12802809999994;None;7;0;0.4604294000000664;128.12802809999994;None;;;;;;;;3;;;;;;129.70285950000016;None;None;None;[];129.70285950000016;None;"['7', '7']";129.70285950000016;None;"[0.029559200000221608, 0.6215935000000172]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;132.70281429999977;None;134.4610050000001;134.7777742999997;135.9029061000001;135.9196025000001;139.07759590000023;None;7;0;0.46264110000083747;139.07759590000023;None;;;;;;;;2;;;;;;140.65249920000042;None;None;None;[];140.65249920000042;None;"['7', '7', '7', '7']";140.65249920000042;None;"[0.2720291999994515, 0.5358160999994652, 0.7837786000000051, 1.1118954999992638]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;143.65244989999974;None;145.6940381000004;146.01075320000018;147.13575149999997;147.1524440000003;149.9355728999999;None;7;0;0.5088890000006359;149.9355728999999;None;;;;;;;;3;;;;;;151.50216379999983;None;None;None;[];151.50216379999983;None;"['7', '7']";151.50216379999983;None;"[0.5741317999991224, 1.182149099999151]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;154.50204930000018;None;155.9187191000001;156.23535840000022;157.36055420000048;157.37704290000056;159.86028290000013;None;9;0;0.4322206999995615;159.86028290000013;None;;;;;;;;6;;;;;;161.41017610000017;None;None;None;[];161.41017610000017;None;['9'];161.41017610000017;None;[0.44996609999998327];;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
