primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;28.45682650001254;1;28.552151900017634;30.55221039999742;30.55221039999742;None;32.56886190001387;None;34.776942900032736;35.102050599991344;36.243758200027514;36.26019290002296;40.56839020003099;None;None;0;40.56839020003099;None;42.135143399995286;None;None;None;[];42.135143399995286;None;5;None;42.135143399995286;None;;;;;;;;;;;;;;;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;45.13498470000923;None;47.25166680000257;47.568337100034114;48.693445799988694;48.710095199989155;50.70151670003543;None;None;0;50.70151670003543;None;52.24298610002734;None;None;None;[];52.24298610002734;None;5;None;52.24298610002734;None;;;;;;;;;;;;;;;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;56.301548600022215;None;57.58464980003191;57.90125200001057;59.026394100044854;59.04298020002898;61.0512211000314;None;7;0;61.0512211000314;None;;;;;;;;3;;;;55.267999200033955;None;1.1902929000207223;62.617842100036796;None;None;None;[];62.617842100036796;None;"['7', '7', '7']";"[1.543616299983114, 2.271630199975334, 2.967652899969835]";62.617842100036796;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;65.62600380001822;None;67.36753079999471;67.68427970004268;68.81782850000309;68.83439710002858;71.50914750003722;None;7;0;71.50914750003722;None;;;;;;;;4;;;;;;0.5402774999965914;73.05911710002692;None;None;None;[];73.05911710002692;None;['7'];[0.750360100006219];73.05911710002692;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;76.05908410000848;None;77.55069000000367;77.86731260002125;78.9923963000183;79.0089508999954;80.99234669998987;None;9;0;80.99234669998987;None;;;;;;;;7;;;;;;0.6091166000114754;82.53377050004201;None;None;None;[];82.53377050004201;None;"['9', '9']";"[1.1553969000233337, 2.3078489000326954]";82.53377050004201;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;85.53367239999352;None;86.85871300002327;87.17533980001463;88.30053539999062;88.31702330004191;90.30867180001223;None;7;0;90.30867180001223;None;;;;;;;;3;;;;;;0.4124958000029437;91.8585180999944;None;None;None;[];91.8585180999944;None;"['7', '7', '7']";"[0.6307473999913782, 1.022731399978511, 1.7190151999820955]";91.8585180999944;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;94.8583916000207;None;97.049940900004;97.36658319999697;98.49155999999493;98.50822399999015;109.49964190000901;None;7;0;109.49964190000901;None;;;;;;;;4;;;;;;0.35776679997798055;111.04120390000753;None;None;None;[];111.04120390000753;None;['7'];[0.4802262000157498];111.04120390000753;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;114.04108900000574;None;115.79928320000181;116.11604300001636;117.24125140003162;117.25783980003325;120.41602010000497;None;7;0;120.41602010000497;None;;;;;;;;3;;;;;;1.3852996999630705;121.96583780000219;None;None;None;[];121.96583780000219;None;"['7', '7']";"[0.6755843000137247, 1.123578600003384]";121.96583780000219;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;124.97408150002593;None;127.01570170000196;127.33235229999991;128.4575435000006;128.4741124000284;131.2573253000155;None;7;0;131.2573253000155;None;;;;;;;;2;;;;;;0.41611599997850135;132.8071925000404;None;None;None;[];132.8071925000404;None;"['7', '7', '7', '7', '7']";"[0.4903903999947943, 0.7863468999858014, 1.186255800013896, 1.5541530000045896, 2.026029800006654]";132.8071925000404;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;135.8071061000228;None;137.22371839999687;137.54036590002943;138.6655735000386;138.68201280001085;141.16525870002806;None;9;0;141.16525870002806;None;;;;;;;;7;;;;;;0.5883203000412323;142.71519860002445;None;None;None;[];142.71519860002445;None;"['9', '9']";"[0.4302711999625899, 0.9421166999964043]";142.71519860002445;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;145.71512529999018;None;147.17334830004256;147.49008780001896;148.61510920000728;148.63177520001773;150.68992279999657;None;7;0;150.68992279999657;None;;;;;;;;2;;;;;;0.5833382999990135;152.23985600000015;None;None;None;[];152.23985600000015;None;"['7', '7', '7', '7']";"[0.5215240999823436, 0.8813128999900073, 1.5933147000032477, 2.217322900018189]";152.23985600000015;None;;;S11905;2022_Dec_05_1846;VideoMask;2021.1.2;120.00393613113614;
