primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;22.583860599996115;1;22.678444299999683;24.678558799998427;24.678558799998427;None;26.695008199996664;None;28.9699838000015;29.3033809999979;30.4283351999984;30.44493859999784;34.76160230000096;None;8;0;1.2964681000012206;34.76160230000096;None;36.34473050000088;None;None;None;[];36.34473050000088;None;5;None;36.34473050000088;None;;;;;;;;;;;;;;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;39.344571699999506;None;41.486250000001746;41.811301199995796;42.94464770000195;42.96126540000114;44.93624229999841;None;8;0;1.025716600001033;44.93624229999841;None;46.48614789999556;None;None;None;[];46.48614789999556;None;5;None;46.48614789999556;None;;;;;;;;;;;;;;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;50.536033399999724;None;51.81084340000234;52.13595579999674;53.26908849999745;53.28595430000132;55.27752160000091;None;7;0;1.1004065000015544;55.27752160000091;None;;;;;;;;1;;;;49.51936249999562;None;56.84425080000074;None;None;None;[];56.84425080000074;None;"['7', '7', '7', '7']";"[0.7415886999951908, 1.3255129999961355, 2.1815309999947203, 2.7016663999966113]";56.84425080000074;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;59.835758799999894;None;61.58559899999818;61.910578399998485;63.06898139999976;63.0854554999969;65.72715249999601;None;7;0;1.2745366000017384;65.72715249999601;None;;;;;;;;3;;;;;;67.27710900000238;None;None;None;[];67.27710900000238;None;"['7', '7']";"[1.300563400000101, 1.7487104000028921]";67.27710900000238;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;70.28579100000206;None;71.785240600002;72.10194849999971;73.23512640000263;73.2519511999999;75.22689530000207;None;9;0;1.0309491000007256;75.22689530000207;None;;;;;;;;6;;;;;;76.77680919999693;None;None;None;[];76.77680919999693;None;['9'];[1.0247834999972838];76.77680919999693;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;79.78546739999729;None;81.12659780000104;81.45165679999627;82.57671380000102;82.59336349999649;84.57657800000015;None;7;0;1.201176899994607;84.57657800000015;None;;;;;;;;3;;;;;;86.126522999999;None;None;None;[];86.126522999999;None;"['7', '7']";"[1.0112498000016785, 1.5152288000026601]";86.126522999999;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;89.13493580000068;None;91.34299309999915;91.66795280000224;92.8096355000016;92.8263478000008;103.79256650000025;None;7;0;0.9772198000064236;103.79256650000025;None;;;;;;;;3;;;;;;105.34247589999723;None;None;None;[];105.34247589999723;None;"['7', '7']";"[0.7231963999947766, 1.115246900000784]";105.34247589999723;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;108.35078249999788;None;110.13405110000167;110.45902509999723;111.62570029999915;111.64366739999969;114.75058580000041;None;7;0;0.5633029999953578;114.75058580000041;None;;;;;;;;1;;;;;;116.30048649999662;None;None;None;[];116.30048649999662;None;"['7', '7', '7', '7', '7']";"[0.45319589999417076, 1.0691167999975733, 1.4615100999944843, 1.749144499997783, 2.0774961999995867]";116.30048649999662;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;119.30916720000096;None;121.35861419999856;121.68365489999996;122.8514142999993;122.8753160999986;125.600222699999;None;7;0;0.6494934000002104;125.600222699999;None;;;;;;;;3;;;;;;127.15018630000122;None;None;None;[];127.15018630000122;None;"['7', '7']";"[0.027605600000242703, 0.5715990000026068]";127.15018630000122;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;130.15880520000064;None;131.59992899999634;131.91666819999955;133.0829511999982;133.09996919999685;135.54158610000013;None;9;0;0.5079637000017101;135.54158610000013;None;;;;;;;;6;;;;;;137.0914935999972;None;None;None;[];137.0914935999972;None;['9'];[0.4542289999953937];137.0914935999972;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;140.10789690000092;None;141.57464420000179;141.8908561999997;143.03300170000148;143.04967159999796;145.09128639999835;None;7;0;0.6704435999999987;145.09128639999835;None;;;;;;;;3;;;;;;146.64117049999913;None;None;None;[];146.64117049999913;None;"['7', '7']";"[0.7205388000002131, 1.7365551999973832]";146.64117049999913;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;149.64967320000142;None;150.94935129999794;151.2823802999992;152.44092439999804;152.45764049999707;158.2074728000007;None;9;0;1.1621750999984215;158.2074728000007;None;;;;;;;;7;;;;;;159.75739579999936;None;None;None;[];159.75739579999936;None;"['9', '9']";"[0.5641904000003706, 1.1564414000022225]";159.75739579999936;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;162.76595870000165;None;164.44897299999866;164.77396279999812;165.9655014000018;165.98208280000108;174.04940530000022;None;7;0;0.7842335000023013;174.04940530000022;None;;;;;;;;3;;;;;;175.74855659999594;None;None;None;[];175.74855659999594;None;"['7', '7']";"[0.57304799999838, 1.9812694999927771]";175.74855659999594;None;;;S11930;2022_Dec_14_1800;VideoMask;2021.1.2;120.04528108242658;
