primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;21.989050700009102;1;22.074673499999335;24.07492360001197;24.07492360001197;None;26.092855900002178;None;28.2995461000246;28.616397600009805;29.79229650000343;29.816195999999763;34.09106659999816;None;9;0;1.453045900008874;34.09106659999816;None;35.65049900001031;None;None;None;[];35.65049900001031;None;7;"['9', '9']";"[1.813596599997254, 2.2615866000123788]";35.65049900001031;None;;;;;;;;;;;;;;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;38.64940840000054;None;40.76576670000213;41.08206149999751;42.215852000023006;42.23247860002448;44.21570110000903;None;9;0;1.1124352999904659;44.21570110000903;None;45.7656087000214;None;None;None;[];45.7656087000214;None;7;"['9', '9']";"[0.8264993000193499, 1.0983975999988616]";45.7656087000214;None;;;;;;;;;;;;;;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;49.79888050002046;None;51.082096099999035;51.39843530001235;52.55684810000821;52.57373180001741;54.5320399000193;None;7;0;1.4679438999737613;54.5320399000193;None;;;;;;;;2;;;;;48.765909800014924;None;56.08187310001813;None;None;None;[];56.08187310001813;None;"['7', '7', '7']";"[1.1104564999986906, 1.3983136999886483, 1.6548449999827426]";56.08187310001813;None;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;59.098907000006875;None;60.815152499999385;61.13173330001882;62.298395400022855;62.315108500013594;64.95668420000584;None;None;0;;64.95668420000584;None;;;;;;;;4;;;;;;;66.50676450002356;None;None;None;[];66.50676450002356;None;['7'];[0.7253537999931723];66.50676450002356;None;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;69.51488440000685;None;71.02312140000868;71.33948570000939;72.51482300000498;72.53146260001813;74.46475400001509;None;9;0;0.8073315000219736;74.46475400001509;None;;;;;;;;6;;;;;;;76.0146478000097;None;None;None;[];76.0146478000097;None;['9'];[0.9215843999991193];76.0146478000097;None;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;79.02331970000523;None;80.3478146000125;80.66410270001506;81.83122330001788;81.84784500001115;83.79774989999714;None;7;0;1.2264809000189416;83.79774989999714;None;;;;;;;;3;;;;;;;85.3476974000223;None;None;None;[];85.3476974000223;None;"['7', '7', '7']";"[0.6442508999898564, 0.8602794999897014, 2.124486999993678]";85.3476974000223;None;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;88.34780050002155;None;90.49754020001274;90.81387209999957;91.9724705000117;91.98902520001866;102.94703300000401;None;7;0;0.8530109999992419;102.94703300000401;None;;;;;;;;3;;;;;;;104.5053898000042;None;None;None;[];104.5053898000042;None;"['7', '7']";"[0.6148172000248451, 0.9987797000212595]";104.5053898000042;None;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;107.50572780001676;None;109.24688430002425;109.56329720001668;110.77995590001228;110.7968093000236;113.87184210002306;None;7;0;1.4642730000196025;113.87184210002306;None;;;;;;;;4;;;;;;;115.42168050000328;None;None;None;[];115.42168050000328;None;['7'];[0.5862596999795642];115.42168050000328;None;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;118.4217133000202;None;120.45479310001247;120.77115110002342;121.95589400001336;121.97971030001645;124.69661720001022;None;7;0;0.6957070999778807;124.69661720001022;None;;;;;;;;3;;;;;;;126.25465020001866;None;None;None;[];126.25465020001866;None;"['7', '7']";"[0.6654617000021972, 1.0335242000001017]";126.25465020001866;None;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;129.26327310001943;None;130.67950650001876;130.99643349999678;132.16267300001346;132.1794953000208;134.62108540002373;None;9;0;0.8189371000044048;134.62108540002373;None;;;;;;;;6;;;;;;;136.17101360001834;None;None;None;[];136.17101360001834;None;['9'];[0.605062699993141];136.17101360001834;None;;;S11933;2022_Dec_15_1740;VideoMask;2021.1.2;120.04254307979126;
