primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;18.72858750000887;1;18.80726470000809;20.807331100004376;20.807331100004376;None;22.823935100008384;None;24.740307500003837;25.0655390000029;26.198623100004625;26.21540690000984;30.532038400007877;None;None;0;30.532038400007877;None;32.09021720000601;None;None;None;[];32.09021720000601;None;4;['7'];[1.8306011000095168];32.09021720000601;None;;;;;;;;;;;;;;;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;35.098627600003965;None;37.2317347000062;37.54836480000813;38.6817449000082;38.69840410001052;40.681696600004216;None;None;0;40.681696600004216;None;42.23160700000881;None;None;None;[];42.23160700000881;None;6;"['9', '9', '7']";"[0.2491703999985475, 0.37711469999339897, 1.2572439999930793]";42.23160700000881;None;;;;;;;;;;;;;;;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;46.2813055000006;None;47.573008600011235;47.89026970000123;49.05625530000543;49.07296150000184;51.0396524000098;None;7;0;51.0396524000098;None;;;;;;;;3;;;;;45.23174260000815;None;0.6811806999903638;52.589537100007874;None;None;None;[];52.589537100007874;None;"['7', '7']";"[0.9312960999959614, 1.3075099999987287]";52.589537100007874;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;55.58957850000297;None;57.3394677000033;57.66448840001249;58.81451580001158;58.831136200009496;61.48085390000779;None;7;0;61.48085390000779;None;;;;;;;;3;;;;;;;0.5120229000021936;63.03094450000208;None;None;None;[];63.03094450000208;None;"['7', '7']";"[1.4257886000123108, 1.92175710000447]";63.03094450000208;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;66.03121480000846;None;67.53083620000689;67.8475296000106;68.99737480000476;69.01410350001242;70.97238669999933;None;9;0;70.97238669999933;None;;;;;;;;6;;;;;;;1.0204330999986269;72.52233220000926;None;None;None;[];72.52233220000926;None;['9'];[1.2707630000077188];72.52233220000926;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;75.53085049999936;None;76.85543470000266;77.18047250001109;78.3055114000017;78.322150100008;80.30545660000644;None;7;0;80.30545660000644;None;;;;;;;;4;;;;;;;0.991396800003713;81.85531420000189;None;None;None;[];81.85531420000189;None;['7'];[1.6094706999865593];81.85531420000189;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;84.85564460000023;None;87.06357600000047;87.38861410001118;88.55682389999856;88.58011270000134;99.51319760001206;None;7;0;99.51319760001206;None;;;;;;;;6;;;;;;;0.7118062000081409;101.06309450000117;None;None;None;[];101.06309450000117;None;['9'];[1.4180312999960734];101.06309450000117;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;104.06304710000404;None;105.82115290001093;106.14629940000304;107.31394150000415;107.33781840000302;110.43785660000867;None;7;0;110.43785660000867;None;;;;;;;;3;;;;;;;1.1391140000050655;111.98785400000634;None;None;None;[];111.98785400000634;None;"['7', '7', '7']";"[1.5170748999953503, 1.7728799000033177, 2.437021599995205]";111.98785400000634;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;114.99588149999909;None;117.02919260000635;117.35430880000058;118.49704270000802;118.52093740001146;121.27130430001125;None;7;0;121.27130430001125;None;;;;;;;;4;;;;;;;0.9375364999868907;122.82919450000918;None;None;None;[];122.82919450000918;None;['7'];[1.7317171000031522];122.82919450000918;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;125.82914220000384;None;127.27052700000058;127.59565920000023;128.75398540000606;128.7706218000094;131.21219730000303;None;9;0;131.21219730000303;None;;;;;;;;4;;;;;;;1.2047141000075499;132.76218309999967;None;None;None;[];132.76218309999967;None;['7'];[1.6547503999900073];132.76218309999967;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
