primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;24.468219500035048;1;24.54684800002724;26.54692570003681;26.54692570003681;None;28.563589100027457;None;30.771776100154966;31.09679189999588;32.280054999981076;32.296723700128496;36.57172090001404;None;9;0;0.9861335998866707;36.57172090001404;None;38.12992099998519;None;None;None;[];38.12992099998519;None;5;None;38.12992099998519;None;;;;;;;;;;;;;;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;41.154806199949235;None;43.271283300127834;43.58756950008683;44.79644379997626;44.8129863999784;46.72130550001748;None;8;0;0.9324741000309587;46.72130550001748;None;48.27123420010321;None;None;None;[];48.27123420010321;None;5;None;48.27123420010321;None;;;;;;;;;;;;;;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;52.30433279997669;None;53.579316900111735;53.89592980011366;55.02926710015163;55.04607250005938;57.02931779995561;None;7;0;0.4566256001126021;57.02931779995561;None;;;;;;;;4;;;;51.304374400060624;None;58.5791752000805;None;None;None;[];58.5791752000805;None;['7'];[2.794919200008735];58.5791752000805;None;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;61.587499800138175;None;63.30402750009671;63.62076790002175;64.75411870004609;64.77073300001211;67.45401620003395;None;7;0;0.8158218001481146;67.45401620003395;None;;;;;;;;4;;;;;;69.00394590012729;None;None;None;[];69.00394590012729;None;"['7', '7']";"[0.393885700032115, 0.8899820998776704]";69.00394590012729;None;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;72.0126158001367;None;73.50384719995782;73.82044399995357;74.96207530004904;74.97876410000026;76.94536620005965;None;9;0;0.6205364998895675;76.94536620005965;None;;;;;;;;6;;;;;;78.49520700005814;None;None;None;[];78.49520700005814;None;['9'];[0.39069669996388257];78.49520700005814;None;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;81.49561640014872;None;82.81167230010033;83.12839130009525;84.25366290006787;84.27010180009529;86.26173359993845;None;None;0;;86.26173359993845;None;;;;;;;;4;;;;;;87.81173560000025;None;None;None;[];87.81173560000025;None;['7'];[0.3621584000065923];87.81173560000025;None;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;90.81159269995987;None;92.96972699998878;93.28651769994758;94.46968860016204;94.48634180007502;105.41952620004304;None;None;0;;105.41952620004304;None;;;;;;;;4;;;;;;106.96926679997705;None;None;None;[];106.96926679997705;None;['7'];[0.5726322999689728];106.96926679997705;None;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;109.97811190015636;None;111.72750669997185;112.04386600013822;113.21212400007062;113.23590870015323;116.36080120014958;None;None;0;;116.36080120014958;None;;;;;;;;4;;;;;;117.9107449001167;None;None;None;[];117.9107449001167;None;['7'];[0.49515440012328327];117.9107449001167;None;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;120.91107699996792;None;122.94398490013555;123.26068500010297;124.44414609996602;124.46054580016062;127.18547570006922;None;None;0;;127.18547570006922;None;;;;;;;;5;;;;;;128.73540930007584;None;None;None;[];128.73540930007584;None;None;;128.73540930007584;None;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;131.7603206001222;None;133.16849269997329;133.48527189996094;134.6349540001247;134.65171210002154;137.11012280010618;None;None;0;;137.11012280010618;None;;;;;;;;6;;;;;;138.65995410014875;None;None;None;[];138.65995410014875;None;['9'];[0.6260417001321912];138.65995410014875;None;;;S11960;2023_Jan_10_1755;VideoMask;2021.1.2;120.03922883920413;
