primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;20.978201500023715;1;21.05621870001778;23.314708899939433;23.314708899939433;None;25.081963500007987;None;27.314695399953052;27.631152000045404;28.76450869999826;28.78121619997546;33.10588469996583;None;None;0;33.10588469996583;None;34.73912579996977;None;None;None;[];34.73912579996977;None;5;"['9', '9']";"[2.1104590999893844, 2.918691399972886]";34.73912579996977;None;;;;;;;;;;;;;;;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;37.74752199999057;None;39.86409149994142;40.18071039998904;41.31410349998623;41.33061910001561;43.31399509997573;None;None;0;43.31399509997573;None;45.28909680002835;None;None;None;[];45.28909680002835;None;5;['9'];[1.3530911001143977];45.28909680002835;None;;;;;;;;;;;;;;;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;49.322234499966726;None;50.60539829998743;50.92217189993244;52.0557594000129;52.08037079998758;54.055442700046115;None;7;0;54.055442700046115;None;;;;;;;;5;;;;;48.297323500039056;None;0.6742624000180513;55.73024019994773;None;None;None;[];55.73024019994773;None;['7'];[1.7280360999284312];55.73024019994773;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;58.73833520000335;None;60.45501819998026;60.77172229997814;61.92180919996463;61.938225099933334;64.5966621999396;None;7;0;64.5966621999396;None;;;;;;;;4;;;;;;;0.5568696000846103;66.17992030002642;None;None;None;[];66.17992030002642;None;['7'];[2.8783845000434667];66.17992030002642;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;69.18823450000491;None;70.67965940001886;70.99628309998661;72.15489250002429;72.17144609999377;74.12144060002174;None;9;0;74.12144060002174;None;;;;;;;;5;;;;;;;0.6081282000523061;75.67138670000713;None;None;None;[];75.67138670000713;None;None;;75.67138670000713;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;78.69631020002998;None;80.0377416999545;80.36360629997216;81.52105119999032;81.53761899995152;83.49678749998566;None;7;0;83.49678749998566;None;;;;;;;;5;;;;;;;1.5931146000511944;85.78768499998841;None;None;None;[];85.78768499998841;None;None;;85.78768499998841;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;88.8041429000441;None;90.95408699999098;91.27073230000678;92.4374894000357;92.45409579994157;103.41216970002279;None;7;0;103.41216970002279;None;;;;;;;;3;;;;;;;0.5977328999433666;104.96206589997746;None;None;None;[];104.96206589997746;None;"['7', '7']";"[0.8639151999959722, 1.9120553000830114]";104.96206589997746;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;107.97040949994698;None;109.71181659994181;110.02852539997548;111.21187090000603;111.22852969996165;114.34515599999577;None;None;0;114.34515599999577;None;;;;;;;;5;;;;;;;;115.89498929993715;None;None;None;[];115.89498929993715;None;None;;115.89498929993715;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;118.92829419998452;None;120.95300069998484;121.2699522000039;122.41193980001844;122.43648919998668;125.19491870002821;None;7;0;125.19491870002821;None;;;;;;;;2;;;;;;;0.43117920006625354;126.75304820004385;None;None;None;[];126.75304820004385;None;"['7', '7', '7']";"[0.5290435999631882, 0.8730598000111058, 1.7368907999480143]";126.75304820004385;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;129.76132149994373;None;131.16111580003053;131.47775119997095;132.63693809998222;132.6611670999555;135.102766099968;None;9;0;135.102766099968;None;;;;;;;;6;;;;;;;0.4991354000521824;136.65268930001184;None;None;None;[];136.65268930001184;None;['9'];[0.7092276000184938];136.65268930001184;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;139.65262950002216;None;141.0940981999738;141.41080369998235;142.5446359999478;142.5692124000052;144.61080509994645;None;7;0;144.61080509994645;None;;;;;;;;4;;;;;;;0.7112798999296501;146.16076630004682;None;None;None;[];146.16076630004682;None;['7'];[1.281173000112176];146.16076630004682;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;149.16065079998225;None;150.42723699996714;150.7438844999997;151.9106446999358;151.92714030004572;157.6686091000447;None;9;0;157.6686091000447;None;;;;;;;;7;;;;;;;0.5493102000327781;159.21855969994795;None;None;None;[];159.21855969994795;None;"['9', '9']";"[0.3752684999490157, 0.7435585999628529]";159.21855969994795;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;162.21868519997224;None;163.8768345999997;164.19339929998387;165.35160109994467;165.36829190002754;173.46839179995004;None;None;0;173.46839179995004;None;;;;;;;;5;;;;;;;;175.02649810002185;None;None;None;[];175.02649810002185;None;None;;175.02649810002185;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;178.04285279999021;None;180.01777249993756;180.34310439997353;181.48465170001145;181.5012722000247;195.95083410001826;None;8;0;195.95083410001826;None;;;;;;;;5;;;;;;;0.9150954999495298;197.50084300001618;None;None;None;[];197.50084300001618;None;None;;197.50084300001618;None;;;S12018;2023_Feb_13_1658;VideoMask;2021.1.2;118.93915781670324;
