primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;26.2778149000369;1;26.35556160006672;28.414232400013134;28.414232400013134;None;30.380618800059892;None;32.63066260004416;32.947034499957226;34.12215179996565;34.13881170004606;38.42178099998273;None;9;0;0.5426538999890909;38.42178099998273;None;40.12261069996748;None;None;None;[];40.12261069996748;None;6;['9'];[1.713667800067924];40.12261069996748;None;;;;;;;;;;;;;;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;43.130166099988855;None;45.26324650004972;45.58008930005599;46.75509850005619;46.771624300046824;48.71399560000282;None;8;0;0.8181850999826565;48.71399560000282;None;50.488088199985214;None;None;None;[];50.488088199985214;None;5;None;;50.488088199985214;None;;;;;;;;;;;;;;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;54.53813830006402;None;55.81282720004674;56.12961870001163;57.304604200064205;57.32138470001519;59.26295840006787;None;7;0;0.38918749999720603;59.26295840006787;None;;;;;;;;3;;;;;53.51321939995978;None;60.81291550002061;None;None;None;[];60.81291550002061;None;"['7', '7', '7']";"[0.9033330000238493, 1.503243500017561, 2.02339570003096]";60.81291550002061;None;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;63.81289389997255;None;65.53769320005085;65.85445179999806;67.03761620004661;67.05442159995437;69.67932500003371;None;None;0;;69.67932500003371;None;;;;;;;;5;;;;;;;71.30432420002762;None;None;None;[];71.30432420002762;None;"['7', '9']";"[0.05194530007429421, 1.5479662000434473]";71.30432420002762;None;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;74.312541399966;None;75.7955322000198;76.11243430001196;77.27079340000637;77.28745599999093;79.23725680005737;None;9;0;0.5030112001113594;79.23725680005737;None;;;;;;;;8;;;;;;;81.39557090005837;None;None;None;[];81.39557090005837;None;"['9', '9', '9', '9']";"[0.7125305000226945, 1.4646536000072956, 1.9605616999324411, 2.9205181999132037]";81.39557090005837;None;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;84.39551689999644;None;85.73698180005886;86.0537403000053;87.18703290005215;87.20355770003516;89.18702960002702;None;7;0;0.8732390999794006;89.18702960002702;None;;;;;;;;4;;;;;;;90.85344089998398;None;None;None;[];90.85344089998398;None;['7'];[0.67081539996434];90.85344089998398;None;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;93.85345960000996;None;96.02003360004164;96.33663120004348;97.5534592999611;97.57006769999862;108.46969649998937;None;7;0;0.34247570007573813;108.46969649998937;None;;;;;;;;3;;;;;;;110.01966250000987;None;None;None;[];110.01966250000987;None;"['7', '7']";"[0.4725630000466481, 1.776587300002575]";110.01966250000987;None;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;113.01965779997408;None;114.76101729995571;115.07779909996316;116.29444309999235;116.31090969999786;119.37764349998906;None;7;0;0.49856110010296106;119.37764349998906;None;;;;;;;;3;;;;;;;120.92757800000254;None;None;None;[];120.92757800000254;None;"['7', '7']";"[0.39675159996841103, 1.020567400031723]";120.92757800000254;None;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;123.92771349998657;None;125.96068420005031;126.27722399996128;127.46084399998654;127.47845910000615;130.20282580005005;None;7;0;0.5854190000100061;130.20282580005005;None;;;;;;;;3;;;;;;;131.78563349996693;None;None;None;[];131.78563349996693;None;"['7', '7', '7']";"[0.4346157000400126, 1.1627572000725195, 2.0268065000418574]";131.78563349996693;None;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;134.78620680002496;None;136.20202219998464;136.5187697999645;137.685163200018;137.7020962999668;140.14351950003766;None;9;0;0.4366236999630928;140.14351950003766;None;;;;;;;;8;;;;;;;141.69350140006281;None;None;None;[];141.69350140006281;None;"['9', '9', '9', '9']";"[0.4787648000055924, 1.1026857999386266, 1.790775700006634, 2.6147274000104517]";141.69350140006281;None;;;S12024;2023_Feb_15_1727;VideoMask;2021.1.2;120.00264013406623;
