Variable;MDD Mean ± SD;HC Mean ± SD;MDD Median;HC Median;MDD Range;HC Range;t-statistic;p-value;Cohen's d;p-value (Bonferroni);Significant (Bonferroni<0.05)
Age;25.47 ± 5.65;26.19 ± 6.74;23.00;24.00;18.00, 41.00;18.00, 52.00;-0.6270472159644073;0.5319018970642084;-0.11577127453104595;1.0;False
Gender_F1_M2;1.48 ± 0.50;1.46 ± 0.50;1.00;1.00;1.00, 2.00;1.00, 2.00;0.2700573683970248;0.7876003470145491;0.049936808454076914;1.0;False
BVAQ_Total;55.93 ± 11.35;48.12 ± 7.20;58.00;47.00;28.00, 85.00;34.00, 67.00;4.438137969553237;2.4173726168523598e-05;0.823661666471317;0.000653;True
BDI_II_Total;25.36 ± 10.79;3.83 ± 3.63;25.50;3.00;4.00, 51.00;0.00, 18.00;14.417151554457567;1.4195513388790852e-22;2.6842151424132035;0.0;True
STAI_Trait;64.28 ± 8.07;39.36 ± 7.07;65.00;38.00;36.00, 81.00;28.00, 61.00;17.7492615768308;2.1143887302200812e-34;3.2856942460323095;0.0;True
STAI_State;58.33 ± 9.70;42.73 ± 6.51;58.50;42.00;34.00, 75.00;32.00, 62.00;10.195203168176327;3.9068995882343334e-17;1.8913343698017255;0.0;True
WMS_Correct;28.21 ± 3.66;28.69 ± 3.59;29.00;29.00;14.00, 35.00;19.00, 35.00;-0.7272625394907322;0.468545142783083;-0.13449890859532085;1.0;False
TrailMaking_A_Time;18.89 ± 4.01;21.00 ± 5.93;17.83;21.66;12.00, 33.46;9.76, 34.38;-2.2470249683531964;0.026785552154674645;-0.4151304962800625;0.72321;False
TrailMaking_B_Time;48.04 ± 15.03;48.98 ± 20.15;45.45;42.95;25.91, 109.93;20.77, 131.63;-0.28238371463416745;0.7781941848226057;-0.052289273913979716;1.0;False
DigitSpan_Forward_Total;11.30 ± 2.34;11.34 ± 2.63;11.00;11.00;6.00, 15.00;5.00, 16.00;-0.08824948210117586;0.9298342923529017;-0.016356497154641252;1.0;False
DigitSpan_Backward_Total;7.79 ± 2.44;8.00 ± 2.68;8.00;8.00;3.00, 12.00;2.00, 13.00;-0.44280816770285164;0.6587464098878385;-0.08210708272559591;1.0;False
DERS_Total;109.07 ± 18.42;65.63 ± 15.54;107.00;62.00;72.00, 150.00;40.00, 122.00;13.777455599582561;8.518101933794467e-26;2.5512409258122988;0.0;True
DERS_NonAcceptance;17.31 ± 5.39;10.83 ± 4.55;16.00;10.00;7.00, 30.00;6.00, 25.00;7.020880033608757;1.8491823362023295e-10;1.3001073268868597;0.0;True
DERS_GoalDifficulties;18.10 ± 3.68;10.69 ± 3.44;19.00;11.00;9.00, 25.00;5.00, 20.00;11.254039208043272;3.1973089526142535e-20;2.0821748191632583;0.0;True
DERS_ImpulseControl;14.07 ± 5.18;8.66 ± 3.05;13.00;7.00;6.00, 27.00;6.00, 20.00;6.866631000816348;7.544193316152341e-10;1.2749908112238912;0.0;True
DERS_LackOfAwareness;18.38 ± 5.03;14.51 ± 4.24;18.50;14.00;7.00, 30.00;6.00, 27.00;4.499190967787831;1.68604392513036e-05;0.833139456431611;0.000455;True
DERS_LimitedStrategies;26.36 ± 5.98;12.24 ± 4.82;26.00;11.00;15.00, 40.00;8.00, 34.00;14.0561627860065;2.965893766270623e-26;2.6038183245364923;0.0;True
DERS_LackOfClarity;14.84 ± 4.96;8.69 ± 2.31;15.00;9.00;5.00, 25.00;5.00, 16.00;8.57709238754383;5.823488471557907e-13;1.5947976153795207;0.0;True
CERQ_SelfBlame;13.33 ± 3.67;9.86 ± 2.92;13.00;9.00;6.00, 20.00;5.00, 16.00;5.643605978377176;1.3397975295565866e-07;1.0455562212900489;4e-06;True
CERQ_Acceptance;13.38 ± 3.08;13.54 ± 2.80;14.00;13.00;7.00, 20.00;7.00, 19.00;-0.2993615379163064;0.7652114691226667;-0.055399802229005014;1.0;False
CERQ_Rumination;12.31 ± 3.09;9.81 ± 3.09;12.00;9.00;6.00, 19.00;4.00, 18.00;4.371179539349394;2.7255911108575388e-05;0.8082673000260974;0.000736;True
CERQ_PositiveRefocusing;7.86 ± 2.84;11.41 ± 3.62;7.00;11.00;4.00, 18.00;5.00, 20.00;-5.904699411617799;4.021836110349387e-08;-1.0895835734963413;1e-06;True
CERQ_RefocusingOnPlanning;12.76 ± 3.60;15.59 ± 3.07;13.00;16.00;5.00, 20.00;7.00, 20.00;-4.572929508295487;1.251750739699069e-05;-0.8467166837052716;0.000338;True
CERQ_PositiveReappraisal;10.10 ± 3.25;14.76 ± 3.55;10.00;16.00;4.00, 17.00;5.00, 20.00;-7.403737683335132;2.4188053474465145e-11;-1.3679775262857343;0.0;True
CERQ_PuttingIntoPerspective;10.64 ± 3.34;14.59 ± 3.34;10.00;15.00;4.00, 17.00;7.00, 20.00;-6.397563610809604;3.5352148019732734e-09;-1.1829558259815351;0.0;True
CERQ_Catastrophizing;8.97 ± 3.04;5.83 ± 1.98;8.50;5.00;4.00, 17.00;4.00, 13.00;6.597151249923473;2.1770536987553227e-09;1.2241482517430826;0.0;True
CERQ_BlameOthers;8.12 ± 3.24;7.05 ± 2.84;7.00;7.00;4.00, 18.00;4.00, 19.00;1.8972875764754678;0.06035484382558251;0.35122538634709777;1.0;False
