Participant,Group,Condition,Accuracy
Sub-007,1.0,happy_happy,90.9090909090909
Sub-007,1.0,happy_sad,92.30769230769229
Sub-007,1.0,sad_happy,100.0
Sub-007,1.0,sad_sad,100.0
Sub-008,1.0,happy_happy,100.0
Sub-008,1.0,happy_sad,85.71428571428571
Sub-008,1.0,sad_happy,91.66666666666666
Sub-008,1.0,sad_sad,93.33333333333331
Sub-009,1.0,happy_happy,92.30769230769229
Sub-009,1.0,happy_sad,58.33333333333334
Sub-009,1.0,sad_happy,75.0
Sub-009,1.0,sad_sad,50.0
Sub-010,2.0,happy_happy,93.33333333333331
Sub-010,2.0,happy_sad,100.0
Sub-010,2.0,sad_happy,100.0
Sub-010,2.0,sad_sad,100.0
Sub-011,2.0,happy_happy,46.66666666666666
Sub-011,2.0,happy_happy,46.66666666666666
Sub-011,2.0,happy_happy,46.66666666666666
Sub-011,2.0,happy_happy,46.66666666666666
Sub-011,2.0,happy_sad,0.0
Sub-011,2.0,happy_sad,0.0
Sub-011,2.0,happy_sad,0.0
Sub-011,2.0,happy_sad,0.0
Sub-011,2.0,sad_happy,46.66666666666666
Sub-011,2.0,sad_happy,46.66666666666666
Sub-011,2.0,sad_happy,46.66666666666666
Sub-011,2.0,sad_happy,46.66666666666666
Sub-011,2.0,sad_sad,14.285714285714285
Sub-011,2.0,sad_sad,14.285714285714285
Sub-011,2.0,sad_sad,14.285714285714285
Sub-011,2.0,sad_sad,14.285714285714285
Sub-012,1.0,sad_sad,100.0
Sub-014,2.0,happy_happy,100.0
Sub-014,2.0,happy_sad,84.61538461538461
Sub-014,2.0,sad_happy,77.7777777777778
Sub-014,2.0,sad_sad,33.33333333333333
Sub-015,2.0,happy_happy,100.0
Sub-015,2.0,happy_sad,100.0
Sub-015,2.0,sad_happy,100.0
Sub-015,2.0,sad_sad,92.30769230769229
Sub-016,2.0,happy_happy,100.0
Sub-016,2.0,happy_sad,100.0
Sub-016,2.0,sad_happy,100.0
Sub-016,2.0,sad_sad,100.0
Sub-017,2.0,happy_happy,100.0
Sub-017,2.0,happy_sad,100.0
Sub-018,2.0,happy_happy,100.0
Sub-018,2.0,happy_sad,90.9090909090909
Sub-018,2.0,sad_happy,100.0
Sub-018,2.0,sad_sad,100.0
Sub-019,2.0,happy_happy,85.71428571428571
Sub-019,2.0,happy_sad,90.9090909090909
Sub-019,2.0,sad_happy,72.72727272727273
Sub-019,2.0,sad_sad,100.0
Sub-020,1.0,happy_happy,90.0
Sub-020,1.0,happy_sad,100.0
Sub-020,1.0,sad_happy,83.33333333333334
Sub-020,1.0,sad_sad,85.71428571428571
Sub-022,2.0,happy_happy,93.33333333333331
Sub-022,2.0,happy_sad,71.42857142857143
Sub-022,2.0,sad_happy,100.0
Sub-022,2.0,sad_sad,85.71428571428571
Sub-024,2.0,happy_happy,100.0
Sub-024,2.0,happy_sad,92.85714285714286
Sub-024,2.0,sad_happy,100.0
Sub-024,2.0,sad_sad,80.0
Sub-025,2.0,happy_happy,100.0
Sub-025,2.0,happy_sad,100.0
Sub-025,2.0,sad_happy,100.0
Sub-025,2.0,sad_sad,100.0
Sub-026,1.0,happy_happy,100.0
Sub-026,1.0,happy_sad,100.0
Sub-026,1.0,sad_happy,100.0
Sub-026,1.0,sad_sad,100.0
Sub-027,2.0,happy_happy,85.71428571428571
Sub-027,2.0,happy_sad,80.0
Sub-027,2.0,sad_happy,100.0
Sub-027,2.0,sad_sad,100.0
Sub-028,2.0,happy_happy,93.33333333333331
Sub-028,2.0,happy_sad,73.33333333333333
Sub-028,2.0,sad_happy,73.33333333333333
Sub-028,2.0,sad_sad,75.0
Sub-029,2.0,happy_happy,100.0
Sub-029,2.0,happy_sad,100.0
Sub-029,2.0,sad_happy,100.0
Sub-029,2.0,sad_sad,85.71428571428571
Sub-030,2.0,happy_happy,84.61538461538461
Sub-030,2.0,happy_sad,77.7777777777778
Sub-030,2.0,sad_happy,86.66666666666669
Sub-030,2.0,sad_sad,100.0
Sub-031,2.0,happy_happy,93.33333333333331
Sub-031,2.0,happy_sad,92.85714285714286
