"Canonical_Variate","Canonical_Correlation","Variance_Explained"
"Canonical 1",0.893032300398085,0.797506689554296
"Canonical 2",0.863470836470184,0.745581885434519
"Canonical 3",0.832250988819477,0.692641708390997
"Canonical 4",0.81441450655301,0.663270988483982
"Canonical 5",0.784970241081794,0.616178279384009
"Canonical 6",0.736290320268428,0.542123435720984
"Canonical 7",0.707062895315109,0.499937937931385
"Canonical 8",0.685647287009265,0.470112202183165
"Canonical 9",0.656757824344543,0.431330839837777
"Canonical 10",0.601762458260951,0.362118056172262
"Canonical 11",0.579130343878823,0.335391955201204
"Canonical 12",0.508204075179925,0.258271382029483
"Canonical 13",0.472023275187196,0.222805972318447
"Canonical 14",0.454172665718931,0.20627281028624
"Canonical 15",0.357074435263785,0.127502152318951
"Canonical 16",0.291970543086824,0.0852467980304148
