Canonical_Variate;Canonical_Correlation;Variance_Explained
Canonical 1;0.882;0.778
Canonical 2;0.858;0.737
Canonical 3;0.803;0.645
Canonical 4;0.733;0.537
Canonical 5;0.711;0.505
Canonical 6;0.665;0.442
Canonical 7;0.643;0.414
Canonical 8;0.613;0.375
Canonical 9;0.583;0.34
Canonical 10;0.544;0.296
Canonical 11;0.502;0.252
Canonical 12;0.478;0.229
Canonical 13;0.43;0.185
Canonical 14;0.407;0.166
Canonical 15;0.382;0.146
Canonical 16;0.351;0.123
Canonical 17;0.326;0.106
Canonical 18;0.213;0.045
Canonical 19;0.178;0.032
Canonical 20;0.16;0.026
Canonical 21;0.149;0.022
Canonical 22;0.088;0.008
