Group;MDD;;HC;
;Mean;SD;Mean;SD
duration_pos_mean;38.11439708;31.5140418;19.96059239;13.75940067
speech_ratio_pos_mean;0.459900125;0.162508078;0.372677109;0.130301157
loudness_mean_pos_mean;-48.89149875;4.950202507;-57.15780074;8.957283158
pause_durations_sum_pos_mean;17.00291667;14.70492463;9.90173913;7.010202503
pause_durations_mean_pos_mean;0.305453625;0.392479117;0.285851196;0.279382157
number_of_pauses_pos_mean;69.875;59.24619568;42.02173913;32.94877447
word_frequency_mean_pos_mean;4.772613083;0.253898411;4.81777213;0.339545656
word_count_pos_mean;92.10416667;89.80244028;49.60869565;34.725897
negative_sentence_ratio_pos_mean;0.1029895;0.156525568;0.067598348;0.184574542
neutral_sentence_ratio_pos_mean;0.461419708;0.315983391;0.475798348;0.345619036
positive_sentence_ratio_pos_mean;0.435590771;0.289679301;0.456603326;0.347419905
duration_neg_mean;73.65893356;85.2476263;26.01739667;18.00971012
speech_ratio_neg_mean;0.434376292;0.156741411;0.351005826;0.120954911
loudness_mean_neg_mean;-49.700917;5.453533768;-59.46251857;10.88150923
loudness_sd_neg_mean;11.12418075;7.336299157;29.25208811;20.28594099
pause_durations_sum_neg_mean;38.91520833;52.30993035;13.51543478;9.118745456
pause_durations_mean_neg_mean;0.350801917;0.360781155;0.285023913;0.122397447
number_of_pauses_neg_mean;120.0833333;126.3495377;53.95652174;44.3566137
word_frequency_mean_neg_mean;4.799189188;0.152210885;4.764308022;0.254969372
word_count_neg_mean;166.7083333;191.4923429;62.02173913;46.30022276
negative_sentence_ratio_neg_mean;0.126449896;0.18509021;0.199180435;0.249855593
neutral_sentence_ratio_neg_mean;0.335621479;0.223886213;0.481306065;0.272571378
positive_sentence_ratio_neg_mean;0.537928625;0.270538806;0.319513435;0.235895015
