;Speech_Feature;Assigned_Factor
0;average_mfccs_3_neg;Factor3
1;average_mfccs_4_neg;Factor3
2;alpha_ratio_mean_neg;Factor3
3;alpha_ratio_sd_neg;Factor3
4;apq11_shimmer_neg;Factor5
5;apq3_shimmer_neg;Factor3
6;apq5_shimmer_neg;Factor4
7;dda_shimmer_neg;Factor3
8;ddp_jitter_neg;Factor3
9;duration_neg;Factor4
10;f0_range_neg;Factor1
11;f1_bandwidth_mean_neg;Factor3
12;f1_bandwidth_sd_neg;Factor2
13;f1_frequency_mean_neg;Factor2
14;f1_frequency_sd_neg;Factor3
15;f1_relative_energy_mean_neg;Factor5
16;f1_relative_energy_sd_neg;Factor2
17;f2_bandwidth_mean_neg;Factor2
18;f2_bandwidth_sd_neg;Factor2
19;f2_frequency_mean_neg;Factor3
20;f2_frequency_sd_neg;Factor3
21;f2_relative_energy_mean_neg;Factor5
22;f2_relative_energy_sd_neg;Factor2
23;f3_bandwidth_mean_neg;Factor3
24;f3_bandwidth_sd_neg;Factor1
25;f3_frequency_mean_neg;Factor3
26;f3_frequency_sd_neg;Factor3
27;f3_relative_energy_mean_neg;Factor2
28;f3_relative_energy_sd_neg;Factor2
29;h1_a3_harmonic_difference_mean_neg;Factor2
30;h1_a3_harmonic_difference_sd_neg;Factor2
31;h1_h2_harmonic_difference_mean_neg;Factor3
32;h1_h2_harmonic_difference_sd_neg;Factor1
33;hammarberg_index_mean_neg;Factor3
34;hammarberg_index_sd_neg;Factor2
35;hnr_mean_neg;Factor3
36;hnr_sd_neg;Factor3
37;jitter_local_mean_neg;Factor4
38;jitter_local_sd_neg;Factor4
39;length_continuously_unvoiced_regions_mean_neg;Factor2
40;length_continuously_unvoiced_regions_sd_neg;Factor2
41;length_continuously_voiced_regions_mean_neg;Factor3
42;length_continuously_voiced_regions_sd_neg;Factor3
43;local_absolute_jitter_neg;Factor3
44;local_shimmer_neg;Factor4
45;loudness_mean_neg;Factor5
46;loudness_sd_neg;Factor2
47;pause_durations_sum_neg;Factor4
48;pause_durations_mean_neg;Factor4
49;pause_durations_sd_neg;Factor4
50;number_of_pauses_neg;Factor4
51;pause_rate_neg;Factor4
52;ppq5_jitter_neg;Factor3
53;rap_jitter_neg;Factor3
54;rate_loudness_peaks_neg;Factor2
55;shimmer_local_dB_mean_neg;Factor4
56;shimmer_local_dB_sd_neg;Factor3
57;signal_to_noise_ratio_neg;Factor5
58;spectral_slope_0_500_mean_neg;Factor1
59;spectral_slope_0_500_sd_neg;Factor2
60;spectral_slope_500_1500_mean_neg;Factor3
61;spectral_slope_500_1500_sd_neg;Factor2
62;speech_ratio_neg;Factor5
63;utterance_durations_sum_neg;Factor4
64;utterance_durations_mean_neg;Factor5
65;utterance_durations_sd_neg;Factor5
