;Factor1;Factor2;Factor3;Factor4;Factor5
0;f0_range_neg;f1_bandwidth_sd_neg;average_mfccs_3_neg;apq5_shimmer_neg;apq11_shimmer_neg
1;f3_bandwidth_sd_neg;f1_frequency_mean_neg;average_mfccs_4_neg;duration_neg;f1_relative_energy_mean_neg
2;h1_h2_harmonic_difference_sd_neg;f1_relative_energy_sd_neg;alpha_ratio_mean_neg;jitter_local_mean_neg;f2_relative_energy_mean_neg
3;spectral_slope_0_500_mean_neg;f2_bandwidth_mean_neg;alpha_ratio_sd_neg;jitter_local_sd_neg;loudness_mean_neg
4;pitch_max_neg;f2_bandwidth_sd_neg;apq3_shimmer_neg;local_shimmer_neg;signal_to_noise_ratio_neg
5;pitch_mean_neg;f2_relative_energy_sd_neg;dda_shimmer_neg;pause_durations_sum_neg;speech_ratio_neg
6;pitch_std_neg;f3_relative_energy_mean_neg;ddp_jitter_neg;pause_durations_mean_neg;utterance_durations_mean_neg
7;pitch_range_neg;f3_relative_energy_sd_neg;f1_bandwidth_mean_neg;pause_durations_sd_neg;utterance_durations_sd_neg
8;pitch_coefficient_of_variation_neg;h1_a3_harmonic_difference_mean_neg;f1_frequency_sd_neg;number_of_pauses_neg;adposition_rate_neg
9;pitch_first_quartile_neg;h1_a3_harmonic_difference_sd_neg;f2_frequency_mean_neg;pause_rate_neg;determiner_rate_neg
10;pitch_second_quartile_neg;hammarberg_index_sd_neg;f2_frequency_sd_neg;shimmer_local_dB_mean_neg;noun_rate_neg
11;pitch_third_quartile_neg;length_continuously_unvoiced_regions_mean_neg;f3_bandwidth_mean_neg;utterance_durations_sum_neg;average_mfccs_1_pos
12;pitch_q2_q1_range_neg;length_continuously_unvoiced_regions_sd_neg;f3_frequency_mean_neg;pitch_linear_regression_slope_neg;apq11_shimmer_pos
13;pitch_q3_q2_range_neg;loudness_sd_neg;f3_frequency_sd_neg;adverb_rate_neg;f1_relative_energy_mean_pos
14;pitch_q3_q1_range_neg;rate_loudness_peaks_neg;h1_h2_harmonic_difference_mean_neg;brunets_index_neg;loudness_mean_pos
15;pitch_percentile_99_neg;spectral_slope_0_500_sd_neg;hammarberg_index_mean_neg;conjunction_rate_neg;signal_to_noise_ratio_pos
16;pitch_percentile_1_99_range_neg;spectral_slope_500_1500_sd_neg;hnr_mean_neg;mean_sentiment_neg;speech_ratio_pos
17;pitch_percentile_20_neg;pitch_min_neg;hnr_sd_neg;number_consecutive_repetitions_neg;utterance_durations_mean_pos
18;pitch_percentile_80_neg;pitch_skewness_neg;length_continuously_voiced_regions_mean_neg;positive_sentence_ratio_neg;utterance_durations_sd_pos
19;pitch_percentile_20_80_range_neg;pitch_kurtosis_neg;length_continuously_voiced_regions_sd_neg;pronoun_rate_neg;verb_phrase_with_aux_rate_pos
20;pitch_linear_regression_offset_neg;pitch_percentile_1_neg;local_absolute_jitter_neg;proportion_verb_phrase_with_objects_neg;
21;pitch_linear_regression_mse_neg;neutral_sentence_ratio_neg;ppq5_jitter_neg;proportion_verb_phrase_with_subjects_neg;
22;adjective_rate_neg;proper_noun_rate_neg;rap_jitter_neg;verb_rate_neg;
23;inflected_verb_rate_neg;type_token_ratio_neg;shimmer_local_dB_sd_neg;word_count_neg;
24;verb_phrase_with_aux_and_vp_rate_neg;word_frequency_sd_neg;spectral_slope_500_1500_mean_neg;word_frequency_mean_neg;
25;f0_range_pos;f1_bandwidth_mean_pos;vocal_tremor_neg;word_frequency_range_neg;
26;f3_bandwidth_sd_pos;f1_bandwidth_sd_pos;honore_stat_neg;apq3_shimmer_pos;
27;h1_h2_harmonic_difference_sd_pos;f1_frequency_mean_pos;mean_number_subordinate_clauses_neg;apq5_shimmer_pos;
28;pause_durations_mean_pos;f1_relative_energy_sd_pos;negative_sentence_ratio_neg;dda_shimmer_pos;
29;spectral_slope_0_500_mean_pos;f2_bandwidth_mean_pos;verb_phrase_with_aux_rate_neg;duration_pos;
30;pitch_max_pos;f2_bandwidth_sd_pos;average_mfccs_2_pos;jitter_local_mean_pos;
31;pitch_mean_pos;f2_relative_energy_mean_pos;average_mfccs_3_pos;local_shimmer_pos;
32;pitch_std_pos;f2_relative_energy_sd_pos;average_mfccs_4_pos;pause_durations_sum_pos;
33;pitch_range_pos;f3_relative_energy_mean_pos;alpha_ratio_mean_pos;pause_durations_sd_pos;
34;pitch_coefficient_of_variation_pos;f3_relative_energy_sd_pos;alpha_ratio_sd_pos;number_of_pauses_pos;
35;pitch_first_quartile_pos;h1_a3_harmonic_difference_mean_pos;ddp_jitter_pos;pause_rate_pos;
36;pitch_second_quartile_pos;h1_a3_harmonic_difference_sd_pos;f1_frequency_sd_pos;shimmer_local_dB_mean_pos;
37;pitch_third_quartile_pos;hammarberg_index_sd_pos;f2_frequency_mean_pos;utterance_durations_sum_pos;
38;pitch_q2_q1_range_pos;hnr_sd_pos;f2_frequency_sd_pos;vocal_tremor_pos;
39;pitch_q3_q2_range_pos;jitter_local_sd_pos;f3_bandwidth_mean_pos;pitch_linear_regression_slope_pos;
40;pitch_q3_q1_range_pos;length_continuously_unvoiced_regions_mean_pos;f3_frequency_mean_pos;adverb_rate_pos;
41;pitch_percentile_99_pos;length_continuously_unvoiced_regions_sd_pos;f3_frequency_sd_pos;brunets_index_pos;
42;pitch_percentile_1_99_range_pos;loudness_sd_pos;h1_h2_harmonic_difference_mean_pos;mean_sentiment_pos;
43;pitch_percentile_20_pos;rate_loudness_peaks_pos;hammarberg_index_mean_pos;positive_sentence_ratio_pos;
44;pitch_percentile_80_pos;spectral_slope_0_500_sd_pos;hnr_mean_pos;pronoun_rate_pos;
