Factor1;Factor2;Factor3;Factor4;Factor5
f0_range_neg (0.59);f1_bandwidth_sd_neg (0.52);average_mfccs_3_neg (0.38);apq5_shimmer_neg (-0.00);apq11_shimmer_neg (0.04)
f3_bandwidth_sd_neg (0.21);f1_frequency_mean_neg (0.20);average_mfccs_4_neg (0.43);duration_neg (0.78);f1_relative_energy_mean_neg (0.45)
h1_h2_harmonic_difference_sd_neg (0.49);f1_relative_energy_sd_neg (0.22);alpha_ratio_mean_neg (0.67);jitter_local_mean_neg (0.08);f2_relative_energy_mean_neg (0.33)
spectral_slope_0_500_mean_neg (0.59);f2_bandwidth_mean_neg (0.01);alpha_ratio_sd_neg (0.65);jitter_local_sd_neg (0.24);loudness_mean_neg (0.56)
pitch_max_neg (0.43);f2_bandwidth_sd_neg (0.46);apq3_shimmer_neg (0.06);local_shimmer_neg (0.03);signal_to_noise_ratio_neg (0.76)
pitch_mean_neg (0.88);f2_relative_energy_sd_neg (0.60);dda_shimmer_neg (0.06);pause_durations_sum_neg (0.73);speech_ratio_neg (0.85)
pitch_std_neg (0.84);f3_relative_energy_mean_neg (0.33);ddp_jitter_neg (0.31);pause_durations_mean_neg (0.13);utterance_durations_mean_neg (0.70)
pitch_range_neg (0.43);f3_relative_energy_sd_neg (0.51);f1_bandwidth_mean_neg (0.12);pause_durations_sd_neg (0.23);utterance_durations_sd_neg (0.69)
pitch_coefficient_of_variation_neg (0.65);h1_a3_harmonic_difference_mean_neg (0.73);f1_frequency_sd_neg (0.64);number_of_pauses_neg (0.81);adposition_rate_neg (0.27)
pitch_first_quartile_neg (0.54);h1_a3_harmonic_difference_sd_neg (0.57);f2_frequency_mean_neg (0.48);pause_rate_neg (0.26);determiner_rate_neg (0.15)
pitch_second_quartile_neg (0.84);hammarberg_index_sd_neg (0.59);f2_frequency_sd_neg (0.36);shimmer_local_dB_mean_neg (0.06);noun_rate_neg (0.11)
pitch_third_quartile_neg (0.93);length_continuously_unvoiced_regions_mean_neg (0.58);f3_bandwidth_mean_neg (0.25);utterance_durations_sum_neg (0.69);average_mfccs_1_pos (0.50)
