;Factor1;Factor2;Factor3;Factor4;Factor5;Assigned_Factor
average_mfccs_3_neg;-0.3723838823427245;-0.4255858418872151;0.37918665316008693;0.04887636061953079;0.14112347292494073;Factor3
average_mfccs_4_neg;-0.4101860398618931;-0.5098523868446533;0.4343930800061538;0.08538074070115703;-0.005630140066553181;Factor3
alpha_ratio_mean_neg;0.17067385513565708;-0.3060318141155723;0.6683766446510212;-0.019519100750658814;0.07234379205868151;Factor3
alpha_ratio_sd_neg;0.16424718098777025;0.21436173248849108;0.6534580720843292;0.010758494662446579;0.1419128517025909;Factor3
apq11_shimmer_neg;-0.18213239550748053;-0.8438247683087389;-0.009028941479389528;0.006530679199847752;0.0429296204938879;Factor5
apq3_shimmer_neg;-0.07881365604978416;-0.9062558824360544;0.05794938879187692;0.03365318045997883;-0.09830704014822257;Factor3
apq5_shimmer_neg;-0.1522822302140769;-0.8998448056320051;-0.005544714027973708;-0.002928461898649218;-0.02218652786717736;Factor4
dda_shimmer_neg;-0.07881365793371078;-0.906255922252997;0.05794941770606558;0.033653183806712526;-0.09830704084654587;Factor3
ddp_jitter_neg;-0.14203062546132678;-0.8055490501618989;0.31134348962692476;-0.11356678847821561;-0.09790749701712165;Factor3
duration_neg;-0.03525910394789079;-0.11253011265438637;-0.04107232345232496;0.7839464259079644;-0.007426751553060527;Factor4
f0_range_neg;0.5895322700127402;0.04778588147817233;0.23186023328183816;0.41160835983431654;0.0012941005241727341;Factor1
f1_bandwidth_mean_neg;-0.5964106239141763;0.09834348145588122;0.11990180751194758;-0.05034899872730495;-0.49003608453144903;Factor3
f1_bandwidth_sd_neg;-0.3269546090335693;0.5237508252904396;0.2667721993636865;-0.0838579869424021;-0.22175936636380755;Factor2
f1_frequency_mean_neg;-0.5696915863510228;0.19843320445464363;0.1319711652504676;-0.06491693764415199;-0.23500722487786532;Factor2
f1_frequency_sd_neg;-0.5876381672632877;0.015259110366731034;0.6358707974318156;-0.031012100482034483;0.045191606208970315;Factor3
f1_relative_energy_mean_neg;0.05228661632736999;0.014250829818182294;-0.6149706412055069;-0.025670608489566267;0.4538401100851198;Factor5
f1_relative_energy_sd_neg;-0.5541032353597013;0.21923057102299545;-0.25108181344555747;0.034780339768612355;0.04908335925625308;Factor2
f2_bandwidth_mean_neg;-0.0023603829723664494;0.006537349312584062;-0.026193203682271415;-0.18843604000038577;-0.6249886211480077;Factor2
f2_bandwidth_sd_neg;0.2819358536932368;0.4585341057193173;-0.08541182090030407;-0.10345153788446464;-0.21983723337362662;Factor2
f2_frequency_mean_neg;-0.26473854457807683;0.07831095816098571;0.48282847547540625;-0.14460593231269178;-0.38745182393860605;Factor3
f2_frequency_sd_neg;-0.5209119627049767;0.23095607437289997;0.3636904423352475;-0.08624236168121104;0.014595802578407075;Factor3
f2_relative_energy_mean_neg;-0.19974928843057885;0.2851495307698973;-0.7596823055175145;-0.004126025875913034;0.32770159529341375;Factor5
f2_relative_energy_sd_neg;0.18121605300776109;0.6043220288103348;0.17576883647513042;0.03278426850737454;0.31789301872227765;Factor2
f3_bandwidth_mean_neg;0.1640632786352158;-0.2913914337258079;0.253934686959007;0.04480715562823869;-0.3011524479259936;Factor3
f3_bandwidth_sd_neg;0.21412553987724262;0.1773924848173543;-0.0017036456847097348;0.21155931335194622;0.09475186444883174;Factor1
f3_frequency_mean_neg;-0.09988374046200012;-0.04204788064070097;0.5345450935139776;-0.18048149368432886;-0.49785141531258914;Factor3
f3_frequency_sd_neg;-0.7426447699859828;-0.033708910738833774;0.1866772172216584;0.1086971469309717;0.17679592545199468;Factor3
