Variable1,Variable2,Correlation,P-Value
Sex_f1_m2,Factor1,-0.772055984958185,8.283210149116561e-20
Group_MDD1_HC2,Factor2,0.5790805830849098,9.708421559522068e-10
Group_MDD1_HC2,Factor5,-0.6016177033858617,1.4297257565225013e-10
Factor2,Factor5,-0.6369584186527815,5.151719320315934e-12
Factor2,BDI-II Sum score,-0.4395934427181663,9.299389778057998e-06
Factor2,STAI2,-0.4539176812242477,4.3280952648301625e-06
Factor2,DERS_Total Score,-0.4466267399645339,6.41561317770436e-06
Factor2,DERS_Total Score Norm,-0.4523934470370758,4.702830784677589e-06
Factor2,DERS_Limited Access to Emotion Regulation Strategies Norm,-0.47548922820956624,1.27902691535887e-06
Factor2,DERS_Limited Access to Emotion Regulation Strategies,-0.47417438467440404,1.3809936193749171e-06
Factor5,BDI-II Sum score,0.47266660317026543,1.5073765565543403e-06
Factor5,STAI2,0.4437119060507558,7.490071665277216e-06
Factor5,DERS_Total Score,0.4411203148147992,8.585371786549484e-06
Factor5,DERS_Total Score Norm,0.42999476428392003,1.5232732164021037e-05
Factor5,DERS_Limited Access to Emotion Regulation Strategies Norm,0.4753325327905623,1.2907938448030407e-06
Factor5,DERS_Limited Access to Emotion Regulation Strategies,0.47718754333467284,1.1578353759749674e-06
Factor5,CERQ_Self-Blame Norm,0.44113651983910784,8.578077791434506e-06
Factor5,CERQ_Self-Blame,0.4411365198391076,8.578077791434481e-06
