Variable1,Variable2,Correlation,P-Value
Sex,neg_spectral_balance,0.6020184698875534,9.604943792182791e-06
pos_frequency_related,CERQ Other-Blame,0.6361474181938699,2.021535078057879e-06
pos_spectral_balance,neg_spectral_balance,0.7885243839775565,7.69081083172394e-11
pos_temporal,neg_temporal,0.8139939674114437,6.05370109259196e-12
STAI2,STAI1,0.6960924435516718,7.829602181862707e-08
STAI2,DERS Total Score,0.6825920995588955,1.7396668490513504e-07
STAI2,DERS Limited Access to Emotion Regulation Strategies,0.633022942680043,2.3499074682183165e-06
STAI1,DERS Total Score,0.5947552359142256,1.3079866314557767e-05
DigitSpan Forwards Span,DigitSpan Forwards Total Score,0.9641841846624114,5.401692147509268e-27
DigitSpan Forwards Span,DigitSpan Backwards Span,0.634268922085651,2.213449516134731e-06
DigitSpan Forwards Span,DigitSpan Backwards Total Score,0.6353797720096348,2.098017466986024e-06
DigitSpan Forwards Total Score,DigitSpan Backwards Span,0.6307506728499633,2.619014926883914e-06
DigitSpan Forwards Total Score,DigitSpan Backwards Total Score,0.6428076147776953,1.4584161750507167e-06
DigitSpan Backwards Span,DigitSpan Backwards Total Score,0.9529366752629982,1.958341888003176e-24
DERS Total Score,DERS Non-Acceptance of Emotional Reactions,0.7125852789259772,2.7779463815795317e-08
DERS Total Score,DERS Problems with Goal-Oriented Behavior,0.602827052948445,9.276007614184237e-06
DERS Total Score,DERS Impulse Control Problems,0.768551521388199,4.4805913033053295e-10
DERS Total Score,DERS Limited Access to Emotion Regulation Strategies,0.8466288177374128,1.2391114661670455e-13
DERS Impulse Control Problems,DERS Limited Access to Emotion Regulation Strategies,0.7177744710239559,1.9753509022487198e-08
