Variable1,Variable2,Correlation,P-Value,Significant
Age,Age,1.0,0.0,True
Age,Sex_f1_m2,-0.08250960211859373,0.4291738300019208,False
Age,Group_MDD1_HC2,0.05356155195533859,0.6081481721005849,False
Age,Factor1,0.04769832574418412,0.6480126202648739,False
Age,Factor2,0.059347599341438045,0.5699000259524332,False
Age,Factor3,-0.06556481181673338,0.5301053301144625,False
Age,Factor4,0.04657004747037601,0.6558037816386385,False
Age,Factor5,-0.004848782320190762,0.9630058204648312,False
Age,BVAQ_New,-0.01687582992776631,0.8717472353606346,False
Age,BDI-II Sum score,-0.1452105860323721,0.1625804283308149,False
Age,STAI2,-0.07930564470035217,0.4473700836446343,False
Age,STAI1,-0.04854112629189405,0.6422173631578939,False
Age,WMS Correct Norm,0.24522559516953354,0.017207908288839547,False
Age,WMS Correct,0.1884605614819897,0.06889883457654702,False
Age,DigitSpan_Forwards_Span,-0.10129030768723679,0.3313454243903952,False
Age,DigitSpan_ForwardsTotal Score,-0.09567764302797391,0.3589727429910797,False
Age,DigitSpan_Backwards_Span,-0.16790349515102324,0.10574669911368521,False
Age,DigitSpan_Backwards_Total Score,-0.11175240555105119,0.2835646335658773,False
Age,DERS_Total Score,-0.11579317311544203,0.26640540964769027,False
Age,DERS_Total Score Norm,-0.11029886116486158,0.2899132892396958,False
Age,DERS_Non-Acceptance of Emotional Reactions Norm,-0.005315725781133577,0.9594461237413574,False
Age,DERS_Problems with Goal-Oriented Behavior Norm,-0.1041245353150825,0.3179228890894653,False
Age,DERS_Impulse Control Problems Norm,-0.08280497861803714,0.4275178786756862,False
Age,DERS_Lack of Emotional Awareness Norm,0.018840025570311565,0.8569698010073684,False
Age,DERS_Limited Access to Emotion Regulation Strategies Norm,-0.150970654907214,0.14637106814867473,False
Age,DERS_Lack of Emotional Clarity Norm,-0.17634812184667953,0.08908681990872698,False
Age,DERS_Non-Acceptance of Emotional Reactions,-0.004631512614136811,0.9646624058599866,False
Age,DERS_Problems with Goal-Oriented Behavior,-0.10361054101441435,0.320330713782794,False
Age,DERS_Impulse Control Problems,-0.08733334205107002,0.4025926602643159,False
Age,DERS_Lack of Emotional Awareness,0.0030087643204381362,0.9770394096129308,False
Age,DERS_Limited Access to Emotion Regulation Strategies,-0.1511902858769748,0.14577801040618454,False
Age,DERS_Lack of Emotional Clarity,-0.17698929965184945,0.08791210969800535,False
Age,CERQ_Self-Blame Norm,-0.14340887285534717,0.16791442221031797,False
Age,CERQ_Acceptance Norm,-0.11302131599114816,0.2780986800540413,False
Age,CERQ_Rumination Norm,0.024505227797426313,0.8146408541926762,False
Age,CERQ_Positive Refocusing Norm,0.09015536024351328,0.3875027593036818,False
Age,CERQ_Refocusing on Planning Norm,0.06237879366944183,0.5503238221309739,False
Age,CERQ_Positive Reappraisal Norm,0.0684739498715493,0.5119739156436205,False
Age,CERQ_Putting into Perspective Norm,-0.02124403497493903,0.8389508642418217,False
Age,CERQ_Catastrophizing Norm,-0.05557266039089441,0.5947265106790303,False
Age,CERQ_Other-Blame Norm,-0.11936971036255263,0.251815815991904,False
Age,CERQ_Self-Blame,-0.1434088728553471,0.16791442221031797,False
Age,CERQ_Acceptance,-0.11302276535797927,0.27809247738172227,False
Age,CERQ_Rumination,0.024506792985963068,0.8146292268521925,False
Age,CERQ_Positive Refocusing,0.09015461331983664,0.38750670782961805,False
Age,CERQ_Refocusing on Planning,0.06238050927272391,0.5503128352285881,False
Age,CERQ_Positive Reappraisal,0.0684739498715492,0.5119739156436205,False
Age,CERQ_Putting into Perspective,-0.02124606578239457,0.8389356762722205,False
Age,CERQ_Catastrophizing,-0.05557168065097342,0.5947330167156623,False
Age,CERQ_Other-Blame,-0.11936970577709534,0.2518158343386535,False
Sex_f1_m2,Age,-0.08250960211859373,0.4291738300019208,False
Sex_f1_m2,Sex_f1_m2,1.0,0.0,True
Sex_f1_m2,Group_MDD1_HC2,-0.1108125517790142,0.2876589717947362,False
Sex_f1_m2,Factor1,-0.772055984958185,8.283210149116561e-20,True
Sex_f1_m2,Factor2,0.20991032662785622,0.04229468484892794,False
Sex_f1_m2,Factor3,-0.11014303339454011,0.2905994414450925,False
Sex_f1_m2,Factor4,0.14096635577440692,0.17535041065334656,False
Sex_f1_m2,Factor5,0.31035350930337985,0.002332416681330163,False
Sex_f1_m2,BVAQ_New,0.34247107850181663,0.0007281986950620362,False
Sex_f1_m2,BDI-II Sum score,0.015986240926276582,0.878454802341745,False
Sex_f1_m2,STAI2,0.03485131976717323,0.7387747153584452,False
Sex_f1_m2,STAI1,0.04823103069875669,0.6443471727002741,False
Sex_f1_m2,WMS Correct Norm,0.061051427880180614,0.5588560999787406,False
Sex_f1_m2,WMS Correct,-0.013237928180178608,0.8992295016128853,False
Sex_f1_m2,DigitSpan_Forwards_Span,0.01678381423250085,0.8724406283993598,False
Sex_f1_m2,DigitSpan_ForwardsTotal Score,-0.004862208955982236,0.9629034533873588,False
Sex_f1_m2,DigitSpan_Backwards_Span,0.04211326022591219,0.6869342417526516,False
Sex_f1_m2,DigitSpan_Backwards_Total Score,0.05173373835653586,0.620460408162503,False
Sex_f1_m2,DERS_Total Score,0.05615458067106738,0.5908678899752919,False
Sex_f1_m2,DERS_Total Score Norm,0.02317221619684972,0.8245577497966233,False
Sex_f1_m2,DERS_Non-Acceptance of Emotional Reactions Norm,-0.043535529190840076,0.6769397899006051,False
Sex_f1_m2,DERS_Problems with Goal-Oriented Behavior Norm,0.13527947869229148,0.19359434280900137,False
