Variable;;MDD Mean ± SD;HC Mean ± SD;t-statistic;p-value;Cohen's d;p-value (Bonferroni);Significant (Bonferroni<0.05)
Sex;;1.479 ± 0.505;1.370 ± 0.488;1.070;0.287;0.221;1.000;False
BVAQ;;55.271 ± 11.412;47.174 ± 7.301;4.115;0.000;0.841;0.002;True
BDI-II;;24.521 ± 10.960;3.957 ± 3.162;12.469;0.000;2.526;0.000;True
STAI-State;;63.729 ± 8.328;39.239 ± 6.597;15.838;0.000;3.252;0.000;True
STAI-Trait;;56.854 ± 9.496;42.761 ± 5.975;8.650;0.000;1.768;0.000;True
WMS;;28.479 ± 3.396;29.283 ± 2.722;-1.268;0.208;-0.261;1.000;False
Digit Span Forward;;11.146 ± 2.560;11.848 ± 2.530;-1.337;0.185;-0.276;1.000;False
Digit Span Backward;;7.396 ± 2.574;8.261 ± 2.594;-1.622;0.108;-0.335;1.000;False
DERS;;108.292 ± 18.939;66.587 ± 15.800;11.612;0.000;2.387;0.000;True
;1;17.396 ± 5.168;11.065 ± 4.404;6.401;0.000;1.316;0.000;True
;2;18.229 ± 3.574;10.957 ± 3.759;9.605;0.000;1.984;0.000;True
;3;13.979 ± 5.163;9.109 ± 3.900;5.174;0.000;1.061;0.000;True
;4;18.312 ± 4.951;14.239 ± 4.040;4.378;0.000;0.900;0.001;True
;5;25.958 ± 5.709;12.304 ± 4.894;12.466;0.000;2.564;0.000;True
;6;14.417 ± 4.989;8.913 ± 2.259;6.937;0.000;1.411;0.000;True
CERQ Self-Blame;;13.083 ± 3.637;10.043 ± 3.231;4.288;0.000;0.883;0.001;True
CERQ Acceptance;;12.917 ± 3.002;13.457 ± 3.002;-0.872;0.386;-0.180;1.000;False
CERQ Rumination;;12.188 ± 2.965;9.783 ± 2.740;4.086;0.000;0.842;0.002;True
CERQ Positive Refocusing;;8.167 ± 2.970;11.478 ± 3.607;-4.848;0.000;-1.004;0.000;True
CERQ Refocusing on Planning;;12.375 ± 3.818;15.435 ± 3.067;-4.292;0.000;-0.882;0.001;True
CERQ Positive Reappraisal;;9.771 ± 3.054;15.087 ± 3.424;-7.931;0.000;-1.641;0.000;True
CERQ Putting into Perspective;;10.708 ± 3.073;14.543 ± 3.644;-5.505;0.000;-1.140;0.000;True
CERQ Catastrophizing;;8.896 ± 3.096;5.783 ± 2.010;5.806;0.000;1.188;0.000;True
CERQ Blaming Others;;8.417 ± 3.426;6.739 ± 3.029;2.518;0.014;0.518;0.353;False
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;Non-Acceptance of Emotional Reactions;;;;;;;
2;Goals Difficulties;;;;;;;
3;Impulse Control Difficulties;;;;;;;
4;Lack of Emotional Awareness;;;;;;;
5;Limited Access to Emotion Regulation Strategies;;;;;;;
6;Lack of Emotional Clarity;;;;;;;
