Variable;MDD Mean ± SD;HC Mean ± SD;t-statistic;p-value;Cohen's d;MDD Median;HC Median;MDD Range;HC Range;p-value (Bonferroni);Significant (Bonferroni<0.05)
Gender (f=1, m=2);1.479 ± 0.504852;1.370 ± 0.488;1.0702;0.2873;0.2207;1.000;1.000;1.000, 2.000;1.000, 2.000;1.0;False
BVAQ New;55.271 ± 11.412460;47.174 ± 7.301;4.1147;0.0001;0.8414;56.000;46.500;28.000, 85.000;34.000, 61.000;0.0024;True
BDI-II Sum Score;24.521 ± 10.960256;3.957 ± 3.162;12.4689;0.0;2.5263;23.500;3.500;4.000, 51.000;0.000, 14.000;0.0;True
STAI-State (Form 2);63.729 ± 8.327702;39.239 ± 6.597;15.8384;0.0;3.2519;64.500;38.000;36.000, 81.000;28.000, 55.000;0.0;True
STAI-Trait (Form 1);56.854 ± 9.495776;42.761 ± 5.975;8.65;0.0;1.7682;56.000;42.000;34.000, 74.000;32.000, 57.000;0.0;True
WMS Correct;28.479 ± 3.395802;29.283 ± 2.722;-1.2683;0.208;-0.2605;29.000;29.000;14.000, 34.000;23.000, 35.000;1.0;False
Digit Span Forward Span;7.062 ± 1.359071;7.239 ± 1.336;-0.6353;0.5268;-0.131;7.000;7.000;4.000, 9.000;4.000, 9.000;1.0;False
Digit Span Forward Total Score;11.146 ± 2.559834;11.848 ± 2.530;-1.3372;0.1845;-0.2758;11.500;12.000;5.000, 15.000;6.000, 16.000;1.0;False
Digit Span Backward Span;5.333 ± 1.434133;5.630 ± 1.496;-0.9822;0.3286;-0.2028;5.500;6.000;3.000, 8.000;2.000, 8.000;1.0;False
Digit Span Backward Total Score;7.396 ± 2.574338;8.261 ± 2.594;-1.6221;0.1082;-0.3348;7.500;8.000;3.000, 12.000;2.000, 13.000;1.0;False
DERS Total Score;108.292 ± 18.938825;66.587 ± 15.800;11.6119;0.0;2.3867;106.000;64.000;72.000, 150.000;46.000, 117.000;0.0;True
DERS Non-Acceptance of Emotional Reactions;17.396 ± 5.168397;11.065 ± 4.404;6.4009;0.0;1.3162;16.500;10.000;7.000, 30.000;6.000, 22.000;0.0;True
DERS Goals Difficulties;18.229 ± 3.574374;10.957 ± 3.759;9.6045;0.0;1.9838;19.000;10.000;9.000, 24.000;5.000, 21.000;0.0;True
DERS Impulse Control Difficulties;13.979 ± 5.163248;9.109 ± 3.900;5.1742;0.0;1.0613;13.000;7.500;6.000, 27.000;6.000, 24.000;0.0;True
DERS Lack of Emotional Awareness;18.312 ± 4.951493;14.239 ± 4.040;4.3783;0.0;0.8995;18.500;14.000;7.000, 30.000;6.000, 24.000;0.0008;True
DERS Limited Access to Emotion Regulation Strategies;25.958 ± 5.709113;12.304 ± 4.894;12.4659;0.0;2.5637;26.000;11.500;15.000, 37.000;8.000, 32.000;0.0;True
DERS Lack of Emotional Clarity;14.417 ± 4.988640;8.913 ± 2.259;6.9371;0.0;1.4112;15.000;9.000;5.000, 23.000;5.000, 16.000;0.0;True
CERQ Self-Blame;13.083 ± 3.636887;10.043 ± 3.231;4.288;0.0;0.8825;12.000;9.000;6.000, 20.000;5.000, 18.000;0.0012;True
CERQ Acceptance;12.917 ± 3.002363;13.457 ± 3.002;-0.8716;0.3857;-0.1798;13.000;13.500;7.000, 19.000;7.000, 19.000;1.0;False
CERQ Rumination;12.188 ± 2.965448;9.783 ± 2.740;4.086;0.0001;0.8416;12.000;10.000;6.000, 18.000;5.000, 18.000;0.0024;True
CERQ Positive Refocusing;8.167 ± 2.970302;11.478 ± 3.607;-4.8478;0.0;-1.0044;7.500;11.000;4.000, 18.000;4.000, 19.000;0.0001;True
CERQ Refocusing on Planning;12.375 ± 3.818349;15.435 ± 3.067;-4.292;0.0;-0.8815;12.500;16.000;5.000, 20.000;7.000, 20.000;0.0012;True
CERQ Positive Reappraisal;9.771 ± 3.054397;15.087 ± 3.424;-7.9313;0.0;-1.6405;9.500;16.000;5.000, 16.000;5.000, 20.000;0.0;True
CERQ Putting into Perspective;10.708 ± 3.073278;14.543 ± 3.644;-5.5048;0.0;-1.1399;10.500;15.000;5.000, 16.000;4.000, 20.000;0.0;True
CERQ Catastrophizing;8.896 ± 3.095911;5.783 ± 2.010;5.806;0.0;1.1875;8.000;5.000;5.000, 17.000;4.000, 13.000;0.0;True
CERQ Blaming Others;8.417 ± 3.426016;6.739 ± 3.029;2.5176;0.0136;0.5181;8.000;6.000;4.000, 18.000;4.000, 19.000;0.3525;False
