ROI,ContrastNr,ContrastName,STAT,x_MNI,y_MNI,z_MNI,StatVal,p_unc,p_FWE_SVC,survives_FWE_SVC
R_Amy,1,Average effect of condition,F,24.0,-8.0,-14.0,87.214,0.0000,0.0000,1
R_Amy,2,Main effect of emotion_primer,F,24.0,-8.0,-12.0,11.974,1.0000,0.0003,1
R_Amy,3,Main effect of emotion_target,F,22.0,-6.0,-12.0,85.181,0.0000,0.0000,1
R_Amy,9,Positive effect of condition_1,T,24.0,-8.0,-14.0,9.339,0.0000,0.0000,1
R_Amy,11,Positive effect of emotion_target_1,T,22.0,-6.0,-12.0,9.229,0.0000,0.0000,1
R_Amy,12,Positive Interaction: emotion_primer x emotion_target_1,T,22.0,-4.0,-12.0,3.116,1.0000,0.0005,1
R_Amy,17,EOI,F,22.0,-6.0,-12.0,21.789,0.0000,0.0000,1
L_Amy,1,Average effect of condition,F,-30.0,-4.0,-16.0,25.856,0.0314,0.0000,1
L_Amy,2,Main effect of emotion_primer,F,-28.0,-6.0,-16.0,13.685,0.9967,0.0000,1
L_Amy,3,Main effect of emotion_target,F,-24.0,-4.0,-12.0,57.822,0.0000,0.0000,1
L_Amy,9,Positive effect of condition_1,T,-30.0,-4.0,-16.0,5.085,0.0158,0.0000,1
L_Amy,11,Positive effect of emotion_target_1,T,-24.0,-4.0,-12.0,7.604,0.0000,0.0000,1
L_Amy,17,EOI,F,-28.0,-6.0,-16.0,10.934,0.0000,0.0000,1
R_DLPFC,1,Average effect of condition,F,28.0,0.0,58.0,96.520,0.0000,0.0000,1
R_DLPFC,2,Main effect of emotion_primer,F,20.0,36.0,46.0,19.729,0.3611,0.0006,1
R_DLPFC,3,Main effect of emotion_target,F,22.0,0.0,54.0,72.427,0.0000,0.0000,1
R_DLPFC,4,Interaction: emotion_primer x emotion_target,F,26.0,6.0,58.0,116.378,0.0000,0.0000,1
R_DLPFC,5,Main effect of group,F,50.0,14.0,44.0,13.109,0.9993,0.0185,1
R_DLPFC,9,Positive effect of condition_1,T,28.0,0.0,58.0,9.824,0.0000,0.0000,1
R_DLPFC,10,Positive effect of emotion_primer_1,T,38.0,40.0,30.0,4.262,0.3541,0.0007,1
R_DLPFC,11,Positive effect of emotion_target_1,T,34.0,-12.0,68.0,7.195,0.0000,0.0000,1
R_DLPFC,12,Positive Interaction: emotion_primer x emotion_target_1,T,14.0,52.0,14.0,4.899,0.0350,0.0000,1
R_DLPFC,13,Positive effect of group_1,T,50.0,14.0,44.0,3.621,0.9734,0.0093,1
R_DLPFC,17,EOI,F,24.0,0.0,54.0,32.933,0.0000,0.0000,1
L_DLPFC,1,Average effect of condition,F,-26.0,-4.0,58.0,131.742,0.0000,0.0000,1
L_DLPFC,2,Main effect of emotion_primer,F,-16.0,38.0,52.0,38.922,0.0001,0.0000,1
L_DLPFC,3,Main effect of emotion_target,F,-16.0,38.0,52.0,99.879,0.0000,0.0000,1
L_DLPFC,4,Interaction: emotion_primer x emotion_target,F,-24.0,-2.0,56.0,139.927,0.0000,0.0000,1
L_DLPFC,9,Positive effect of condition_1,T,-26.0,-4.0,58.0,11.478,0.0000,0.0000,1
L_DLPFC,10,Positive effect of emotion_primer_1,T,-30.0,-10.0,68.0,3.303,0.9999,0.0262,1
L_DLPFC,11,Positive effect of emotion_target_1,T,-16.0,38.0,52.0,9.994,0.0000,0.0000,1
L_DLPFC,12,Positive Interaction: emotion_primer x emotion_target_1,T,-20.0,26.0,44.0,4.222,0.3962,0.0008,1
L_DLPFC,15,Positive Interaction: emotion_target x group_1,T,-12.0,38.0,38.0,3.109,1.0000,0.0500,1
L_DLPFC,17,EOI,F,-24.0,-2.0,56.0,36.004,0.0000,0.0000,1
R_ACC,1,Average effect of condition,F,4.0,44.0,16.0,102.315,0.0000,0.0000,1
R_ACC,2,Main effect of emotion_primer,F,2.0,46.0,10.0,17.007,0.7599,0.0006,1
R_ACC,3,Main effect of emotion_target,F,2.0,44.0,10.0,89.878,0.0000,0.0000,1
R_ACC,4,Interaction: emotion_primer x emotion_target,F,8.0,26.0,28.0,60.041,0.0000,0.0000,1
R_ACC,7,Interaction: emotion_target x group,F,2.0,52.0,8.0,12.125,1.0000,0.0072,1
R_ACC,11,Positive effect of emotion_target_1,T,2.0,44.0,10.0,9.480,0.0000,0.0000,1
R_ACC,12,Positive Interaction: emotion_primer x emotion_target_1,T,8.0,52.0,14.0,4.082,0.5621,0.0004,1
R_ACC,15,Positive Interaction: emotion_target x group_1,T,2.0,52.0,8.0,3.482,0.9955,0.0036,1
R_ACC,17,EOI,F,2.0,46.0,10.0,25.541,0.0000,0.0000,1
L_ACC,1,Average effect of condition,F,2.0,44.0,20.0,102.143,0.0000,0.0000,1
L_ACC,2,Main effect of emotion_primer,F,-4.0,44.0,16.0,22.543,0.1251,0.0000,1
L_ACC,3,Main effect of emotion_target,F,-4.0,46.0,4.0,123.493,0.0000,0.0000,1
L_ACC,4,Interaction: emotion_primer x emotion_target,F,-6.0,28.0,30.0,46.704,0.0000,0.0000,1
L_ACC,6,Interaction: emotion_primer x group,F,-6.0,22.0,24.0,13.008,0.9995,0.0047,1
L_ACC,7,Interaction: emotion_target x group,F,-2.0,50.0,6.0,20.407,0.2847,0.0001,1
L_ACC,9,Positive effect of condition_1,T,0.0,20.0,-8.0,4.116,0.5197,0.0003,1
L_ACC,11,Positive effect of emotion_target_1,T,-4.0,46.0,4.0,11.113,0.0000,0.0000,1
L_ACC,12,Positive Interaction: emotion_primer x emotion_target_1,T,0.0,50.0,-2.0,4.929,0.0309,0.0000,1
L_ACC,14,Positive Interaction: emotion_primer x group_1,T,-6.0,22.0,24.0,3.607,0.9772,0.0024,1
L_ACC,15,Positive Interaction: emotion_target x group_1,T,-2.0,50.0,6.0,4.517,0.1543,0.0001,1
L_ACC,17,EOI,F,0.0,46.0,12.0,27.312,0.0000,0.0000,1
