Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Effect,p_bonf,sig,Region
0.008925545891047078,0.008925545891047078,1,109.99999509698044,0.6841991820683866,0.40993527460804047,group,1,,ACC
0.20921928380704677,0.20921928380704677,1,777.0000017824018,16.037972870354267,6.804309316780134e-5,primer,2.0412927950340403e-4,***,ACC
1.807621167025482,1.807621167025482,1,777.0000017821162,138.56552182527048,1.498847043502945e-29,target,4.4965411305088345e-29,***,ACC
8.348543780905313e-4,8.348543780905313e-4,1,777.000001816228,0.06399683443549506,0.8003537058330341,hemisphere,1,,ACC
0.001068754023907118,0.001068754023907118,1,777.0000018190649,0.08192671214911688,0.7747794694636033,group:primer,1,,ACC
0.06957298674565804,0.06957298674565804,1,777.0000018190649,5.333206641532336,0.021184261444166002,group:target,0.063552784332498,,ACC
0.010385943769541545,0.010385943769541545,1,777.0000018190649,0.7961478568225648,0.372523839418911,primer:target,1,,ACC
0.006840931687299943,0.006840931687299943,1,777.0000018190649,0.5244004033110451,0.46918858350200376,group:primer:target,1,,ACC
0.0017794103790913873,0.0017794103790913873,1,109.99999548960739,0.05349182709197947,0.8175246138227947,group,1,,Amy
0.178546646114016,0.178546646114016,1,777.0000017986608,5.367388228150422,0.020775875649789326,primer,0.06232762694936798,,Amy
4.162184530100168,4.162184530100168,1,777.0000017986629,125.12170201160521,4.900301379885046e-27,target,1.4700904139655138e-26,***,Amy
2.0789708609185644,2.0789708609185644,1,777.0000017721948,62.497078317765684,9.143352981872289e-15,hemisphere,2.7430058945616868e-14,***,Amy
9.044292628474982e-4,9.044292628474982e-4,1,777.0000017652832,0.02718854195391885,0.8690738567315573,group:primer,1,,Amy
8.626302743200062e-4,8.626302743200062e-4,1,777.0000017652832,0.025931999734538323,0.8721083577051565,group:target,1,,Amy
0.21348246774984717,0.21348246774984717,1,777.0000017860873,6.417613039817736,0.011494967578603315,primer:target,0.034484902735809946,*,Amy
4.969178090770675e-4,4.969178090770675e-4,1,777.0000017650043,0.014938117611547667,0.9027551297844134,group:primer:target,1,,Amy
0.012555663387009858,0.012555663387009858,1,109.99999846626864,0.44923237943677524,0.5041044058934065,group,1,,DLPFC
0.024786989807565392,0.024786989807565392,1,777.0000005416747,0.88686022132834,0.34662227231633647,primer,1,,DLPFC
0.5814309272830056,0.5814309272830056,1,777.0000005416764,20.8031699234396,5.912323925865124e-6,target,1.7736971777595372e-5,***,DLPFC
0.934857157084966,0.934857157084966,1,777.0000005371004,33.44849986542959,1.0602248514317844e-8,hemisphere,3.1806745542953535e-8,***,DLPFC
3.9207571224395655e-4,3.9207571224395655e-4,1,777.0000005399414,0.014028179929779661,0.90574915604048,group:primer,1,,DLPFC
5.321881903535956e-4,5.321881903535956e-4,1,777.0000005399414,0.019041301099872305,0.8902838975335632,group:target,1,,DLPFC
0.9837098283648662,0.9837098283648662,1,777.0000005418116,35.19641242762983,4.486140852219264e-9,primer:target,1.3458422556657793e-8,***,DLPFC
1.1753013259700669e-5,1.1753013259700669e-5,1,777.0000005399414,4.205141496282737e-4,0.9836446381185447,group:primer:target,1,,DLPFC
