contrast,primer,target,estimate,SE,df,t.ratio,p.value,Region,p_bonf,sig
HC - MDD,happy,happy,0.05011136808443546,0.03270839722247109,156.45782340409673,1.5320643119134039,0.1275260762391806,ACC,1,
HC - MDD,sad,happy,0.03466798704829886,0.03270839722247108,156.45782340409156,1.0599109094982349,0.29081863736654834,ACC,1,
HC - MDD,happy,sad,0.0037448711224914305,0.03270839722247108,156.45782340409156,0.11449265144421863,0.9089940683014558,ACC,1,
HC - MDD,sad,sad,0.010438435561250112,0.03270839722247108,156.4578234040933,0.319136260032906,0.7500488715363622,ACC,1,
HC - MDD,happy,happy,0.011496011192835212,0.04432199568267463,182.06837259577966,0.259374854759281,0.7956390681427379,Amy,1,
HC - MDD,sad,happy,0.01045459194115582,0.04432199568267464,182.06837259578904,0.2358781859915774,0.813792322839729,Amy,1,
HC - MDD,happy,sad,0.010548691077708193,0.04432199568267464,182.0683725957914,0.23800126585526585,0.8121477459755351,Amy,1,
HC - MDD,sad,sad,0.003541009433960517,0.04432199568267464,182.06837259578904,0.07989282475709208,0.9364102429317447,Amy,1,
HC - MDD,happy,happy,0.03336642340901775,0.05340481777299494,145.40020735027431,0.6247830214653415,0.5330926949606152,DLPFC,1,
HC - MDD,sad,happy,0.030257831307962453,0.05340481777299493,145.40020735027136,0.5665749378001407,0.5718765339063566,DLPFC,1,
HC - MDD,happy,sad,0.0359948284298045,0.05340481777299493,145.40020735027136,0.6739996489231708,0.5013816350486646,DLPFC,1,
HC - MDD,sad,sad,0.03380379677006668,0.05340481777299494,145.40020735027136,0.632972794959337,0.5277456695112651,DLPFC,1,
