"Variable","term","df","sumsq","meansq","statistic","p.value"
"Age","Group_MDD1_HC2",1,11.8156221091583,11.8156221091583,0.264692626758612,0.608148172100587
"Age","Residuals",92,4106.79076086956,44.6390300094518,NA,NA
"duration_pos","Group_MDD1_HC2",1,7741.16871862027,7741.16871862027,12.9026989246206,0.000529219965072052
"duration_pos","Residuals",92,55196.7868330314,599.96507427208,NA,NA
"loudness_mean_pos","Group_MDD1_HC2",1,1605.06915802881,1605.06915802881,31.0080579163468,2.52701637074858e-07
"loudness_mean_pos","Residuals",92,4762.19319949103,51.7629695596851,NA,NA
"pause_durations_sum_pos","Group_MDD1_HC2",1,1184.49152193185,1184.49152193185,8.80629517113964,0.00382581477494638
"pause_durations_sum_pos","Residuals",92,12374.4682525362,134.505089701481,NA,NA
"pause_durations_mean_pos","Group_MDD1_HC2",1,0.00902591023224493,0.00902591023224493,0.0772283264645477,0.7817128086564
"pause_durations_mean_pos","Residuals",92,10.7523208048245,0.116873052226353,NA,NA
"number_of_pauses_pos","Group_MDD1_HC2",1,18223.144079556,18223.144079556,7.84054223782743,0.00622569842850518
"number_of_pauses_pos","Residuals",92,213828.22826087,2324.21987240076,NA,NA
"word_frequency_mean_pos","Group_MDD1_HC2",1,0.0479027839736689,0.0479027839736689,0.536273045331636,0.465842952416029
"word_frequency_mean_pos","Residuals",92,8.21793331576488,0.0893253621278792,NA,NA
"word_count_pos","Group_MDD1_HC2",1,42418.6175030836,42418.6175030836,9.00658647392281,0.0034621949923005
"word_count_pos","Residuals",92,433295.435688406,4709.73299661311,NA,NA
"negative_sentence_ratio_pos","Group_MDD1_HC2",1,0.0294212160005439,0.0294212160005439,1.00826603966621,0.317952334065135
"negative_sentence_ratio_pos","Residuals",92,2.68456118282643,0.0291800128568091,NA,NA
"neutral_sentence_ratio_pos","Group_MDD1_HC2",1,0.00485631451326554,0.00485631451326554,0.0443758849859136,0.833621706605055
"neutral_sentence_ratio_pos","Residuals",92,10.0681019739044,0.109435891020699,NA,NA
"positive_sentence_ratio_pos","Group_MDD1_HC2",1,0.0103711986389016,0.0103711986389016,0.101770719438408,0.750438145280383
"positive_sentence_ratio_pos","Residuals",92,9.37548913915659,0.101907490643006,NA,NA
"duration_neg","Group_MDD1_HC2",1,53314.1809567165,53314.1809567165,13.7719360602697,0.000353176011557197
"duration_neg","Residuals",92,356152.15076172,3871.21903001869,NA,NA
"loudness_mean_neg","Group_MDD1_HC2",1,2238.27461894325,2238.27461894325,30.6150072554423,2.94080746985444e-07
"loudness_mean_neg","Residuals",92,6726.15437339715,73.1103736238821,NA,NA
"pause_durations_sum_neg","Group_MDD1_HC2",1,15154.1263841832,15154.1263841832,10.5340936190767,0.00163504938316887
"pause_durations_sum_neg","Residuals",92,132349.272539221,1438.57904933936,NA,NA
"pause_durations_mean_neg","Group_MDD1_HC2",1,0.101632496165107,0.101632496165107,1.37668516289711,0.243695364610905
"pause_durations_mean_neg","Residuals",92,6.79181406118532,0.0738240658824491,NA,NA
"number_of_pauses_neg","Group_MDD1_HC2",1,102713.228800493,102713.228800493,11.2648914523649,0.00114951696338262
"number_of_pauses_neg","Residuals",92,838855.579710145,9117.99543163201,NA,NA
"word_frequency_mean_neg","Group_MDD1_HC2",1,0.028579405962135,0.028579405962135,0.654980629438919,0.420425746399823
"word_frequency_mean_neg","Residuals",92,4.01432535610829,0.0436339712620466,NA,NA
"word_count_neg","Group_MDD1_HC2",1,257426.562519272,257426.562519272,13.0133083061738,0.0005025381011386
"word_count_neg","Residuals",92,1819924.89492754,19781.7923361689,NA,NA
"negative_sentence_ratio_neg","Group_MDD1_HC2",1,0.124252411715333,0.124252411715333,2.58660280783278,0.111197793006712
"negative_sentence_ratio_neg","Residuals",92,4.41939591312378,0.0480369120991716,NA,NA
"neutral_sentence_ratio_neg","Group_MDD1_HC2",1,0.498538180180833,0.498538180180833,8.04776893186438,0.00560369459977398
"neutral_sentence_ratio_neg","Residuals",92,5.69915873143878,0.061947377515639,NA,NA
"positive_sentence_ratio_neg","Group_MDD1_HC2",1,1.12056458788809,1.12056458788809,17.3436354904426,7.02476810785873e-05
"positive_sentence_ratio_neg","Residuals",92,5.94407914894856,0.0646095559668321,NA,NA
