Speech Feature;Questionnaire;N;Interaction Term;Interaction Coeff;Interaction p-Value;p_adj;significant
pause_durations_sum_neg;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-5.260077541107974;0.04265309330054995;0.6377185046136916;False
number_of_pauses_pos;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;5.910241990145096;0.043979044209449536;0.6377185046136916;False
negative_sentence_ratio_pos;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;0.024563294127806178;0.045627925549367246;0.6377185046136916;False
positive_sentence_ratio_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-0.03842412984349787;0.049596737640821405;0.6377185046136916;False
word_count_pos;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;8.13080502200825;0.051165271061806725;0.6377185046136916;False
word_count_neg;BVAQ;94;BVAQ:Group_recode;-6.2036699508687825;0.05266599892835662;0.6377185046136916;False
number_of_pauses_pos;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-4.19059972446594;0.05288822933768673;0.6377185046136916;False
number_of_pauses_neg;BVAQ;94;BVAQ:Group_recode;-4.179656275578151;0.05419918582284301;0.6377185046136916;False
negative_sentence_ratio_pos;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;0.02766579257192062;0.06634442424661133;0.6377185046136916;False
number_of_pauses_neg;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-8.05709152410617;0.06811416207232271;0.6377185046136916;False
word_count_neg;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-9.819877882399553;0.07057924092774087;0.6377185046136916;False
positive_sentence_ratio_neg;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;-0.04022165512781716;0.07186524669426747;0.6377185046136916;False
pause_durations_sum_pos;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-0.24743713495505462;0.07392471132639873;0.6377185046136916;False
word_frequency_mean_neg;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;0.026057281493832768;0.0739481036489385;0.6377185046136916;False
number_of_pauses_pos;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-3.7852255690797234;0.07493192429210876;0.6377185046136916;False
pause_durations_sum_neg;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;-4.509858024592604;0.06306598114559095;0.6377185046136916;False
number_of_pauses_neg;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-2.145385893973396;0.05761145592803151;0.6377185046136916;False
duration_neg;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-4.574779683505021;0.05657498714892355;0.6377185046136916;False
word_count_pos;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-1.5164746777331009;0.059391261824686056;0.6377185046136916;False
negative_sentence_ratio_pos;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;-0.020564065140238855;0.060995890164822854;0.6377185046136916;False
word_count_neg;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-18.0613600356311;0.06258450681118634;0.6377185046136916;False
duration_pos;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-0.5371709738689454;0.06305588491891503;0.6377185046136916;False
negative_sentence_ratio_pos;CERQ_Positive_Reappraisal;94;CERQ_Positive_Reappraisal:Group_recode;-0.021025227598383815;0.05774746988491013;0.6377185046136916;False
neutral_sentence_ratio_pos;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;0.027686615532230813;0.05845050216542601;0.6377185046136916;False
word_frequency_mean_neg;CERQ_Other_Blame;94;CERQ_Other_Blame:Group_recode;-0.02528898316066308;0.06366635155051946;0.6377185046136916;False
duration_pos;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-4.730576659954338;0.004375861167768866;0.6377185046136916;False
positive_sentence_ratio_neg;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;-0.030176259376956553;0.06546877110485465;0.6377185046136916;False
negative_sentence_ratio_neg;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;0.024505754093730563;0.0654351630038591;0.6377185046136916;False
number_of_pauses_pos;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-1.0468631046003167;0.06528533552236493;0.6377185046136916;False
word_count_pos;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-5.730885223543047;0.06504396751158702;0.6377185046136916;False
pause_durations_sum_pos;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-0.9428182967601878;0.06469687371544634;0.6377185046136916;False
neutral_sentence_ratio_pos;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;0.03808230068871095;0.06367093032053706;0.6377185046136916;False
